name;address;lat;lng;Whatsapp;Site
CARRERA ACELERA ARARAQUARA;14801-534 Avenida Rodrigo Fernando Grillo 2699 Jardim dos Manacás SP Araraquara;-217.861.705;-482.038.324;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA AV. SUMARÉ;05016-090 Avenida Sumaré 535 Perdizes SP São Paulo;-235.333.266;-466.747.403;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA BUTANTÃ;05533-000 Avenida Eliseu de Almeida 715 Instituto de Previdência SP São Paulo;-235.790.712;-467.174.281;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA CATANDUVA;15800-031 Av. Deputado Orlando Zacaner 1095 Jardim Clélia SP Catanduva;-211.488.611;-489.869.312;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA COTIA;06707-000 Rodovia Raposo Tavares Granja Viana SP Cotia;-236.003.842;-469.028.354;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA GUARATINGUETA;12505-300 Avenida Juscelino Kubitschek de Oliveira 1138 Campo do Galvão SP Guaratinguetá;-2.281.592;-4.520.229;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA LAPA;05037-170 Avenida Comendador Martinelli 1506 Água Branca SP São Paulo;-235.100.292;-466.899.484;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA MORUMBI;05724-001 Av. Giovanni Gronchi 3707 VILA ANDRADE SP São Paulo;-236.126.684;-467.287.675;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA PINDAMONHANGABA;12421-681 Rua Alcides Ramos Nogueira 650 Nossa Senhora do Perpétuo Socorro SP Pindamonhangaba;-229.465.315;-454.803.094;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA SÃO CARLOS;13564-002 Avenida Francisco Pereira Lopes 1800 Parque Arnold Schimidt SP São Carlos;-220.061.725;-479.026.094;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
