linha_origem;name;endereco_original;lat_original;lng_original;lat_corrigida;lng_corrigida;cidade;uf;cep;endereco_para_dsp
37;CARRERA ACELERA TAUBATE;12041-078 Av. Charles Schnneider 1861 BARRANCO SP Taubaté;-230.249.016;-455.840.715;-23.024902;-45.584072;Taubaté;SP;12041078;Av Charles Schnneider 1861 BARRANCO Taubate SP 12041078 Brazil
38;CARRERA ACELERA VILA OLIMPIA;04550-002 Avenida Bandeirantes 1585 VILA OLÍMPIA SP São Paulo;-236.041.579;-466.793.797;-23.604158;-46.67938;São Paulo;SP;04550002;Avenida Bandeirantes 1585 VILA OLIMPIA Sao Paulo SP 04550002 Brazil
39;CARRERA ACELERA VOTUPORANGA;15500-051 Avenida Brasil 5043 São Judas Tadeu SP Votuporanga;-204.086.762;-499.767.824;-20.408676;-49.976782;Votuporanga;SP;15500051;Avenida Brasil 5043 Sao Judas Tadeu Votuporanga SP 15500051 Brazil
40;CICAL RIBEIRAO PRETO;14026-600 Avenida Doutor José Cezário Monteiro da Silva Filho 270 Nova Aliança SP Ribeirão Preto;-21.217.415;-4.781.783;-21.217415;-47.81783;Ribeirão Preto;SP;14026600;Avenida Doutor Jose Cezario Monteiro da Silva Filho 270 Nova Alianca Ribeirao Preto SP 14026600 Brazil
41;CICAL UBERLANDIA;38400-658 Rua Rio de Janeiro 359 BRASIL MG Uberlândia;-188.964.959;-482.605.863;-18.896496;-48.260586;Uberlândia;MG;38400658;Rua Rio de Janeiro 359 BRASIL Uberlandia MG 38400658 Brazil
42;COMERI GUARUJA;11430-001 Av. Adhemar de Barros 1007 VILA SANTO ANTONIO SP Guarujá;-239.917.159;-462.695.586;-23.991716;-46.269559;Guarujá;SP;11430001;Av Adhemar de Barros 1007 VILA SANTO ANTONIO Guaruja SP 11430001 Brazil
43;COMERI PRAIA GRANDE;11702-480 Av. Presidente Kennedy 2980 Aviacao SP Praia Grande;-240.100.102;-464.382.916;-24.01001;-46.438292;Praia Grande;SP;11702480;Av Presidente Kennedy 2980 Aviacao Praia Grande SP 11702480 Brazil
44;COMERI SANTOS;11015-201 Avenida Washington Luis 105 Vila Matias SP Santos;-239.462.835;-463.343.711;-23.946283;-46.334371;Santos;SP;11015201;Avenida Washington Luis 105 Vila Matias Santos SP 11015201 Brazil
45;DAHRUJ AMERICANA;13478-540 Avenida Nossa Senhora de Fátima 1041 Vila Israel SP Americana;-227.356.177;-473.158.226;-22.735618;-47.315823;Americana;SP;13478540;Avenida Nossa Senhora de Fatima 1041 Vila Israel Americana SP 13478540 Brazil
46;DAHRUJ BRAZ LEME;02511-000 Avenida Braz Leme 410 Casa Verde SP São Paulo;-235.112.752;-466.527.888;-23.511275;-46.652789;São Paulo;SP;02511000;Avenida Braz Leme 410 Casa Verde Sao Paulo SP 02511000 Brazil
47;DAHRUJ CAMPINAS;13090-615 Avenida José de Souza Campos 2256 Chácara da Barra SP Campinas;-228.859.365;-470.438.035;-22.885936;-47.043804;Campinas;SP;13090615;Avenida Jose de Souza Campos 2256 Chacara da Barra Campinas SP 13090615 Brazil
48;DAHRUJ INDAIATUBA;13338-705 Av. Presidente Vargas 3138 Vila Homero SP Indaiatuba;-230.866.168;-4.718.169.289.999.990;-23.086617;-47.181693;Indaiatuba;SP;13338705;Av Presidente Vargas 3138 Vila Homero Indaiatuba SP 13338705 Brazil
49;DAHRUJ JUNDIAI;13215-010 Av. Antonio Frederico Ozanan 3900 PONTE DE SÃO JOAO SP Jundiaí;-231.818.277;-468.773.013;-23.181828;-46.877301;Jundiaí;SP;13215010;Av Antonio Frederico Ozanan 3900 PONTE DE SAO JOAO Jundiai SP 13215010 Brazil
50;DAHRUJ LIMEIRA;13486-190 Avenida Major José Levy Sobrinho 2565 Jardim Nereide SP Limeira;-225.498.669;-473.795.316;-22.549867;-47.379532;Limeira;SP;13486190;Avenida Major Jose Levy Sobrinho 2565 Jardim Nereide Limeira SP 13486190 Brazil
51;DAHRUJ PIRACICABA;13420-355 Avenida Doutor Cássio Paschoal Padovani 861 Morumbi SP Piracicaba;-227.276.058;-476.195.242;-22.727606;-47.619524;Piracicaba;SP;13420355;Avenida Doutor Cassio Paschoal Padovani 861 Morumbi Piracicaba SP 13420355 Brazil
52;DAHRUJ VILA LEOPOLDINA;05314-000 Avenida Doutor Gastão Vidigal 1687 Vila Leopoldina SP São Paulo;-235.320.864;-4.673.569.639.999.990;-23.532086;-46.735696;São Paulo;SP;05314000;Avenida Doutor Gastao Vidigal 1687 Vila Leopoldina Sao Paulo SP 05314000 Brazil
53;DESTAQUE CARAGUATATUBA;11672-150 Rua Ministro Dilson Funaro 425 Pontal de Santa Marina SP Caraguatatuba;-23.648.041;-454.319.001;-23.648041;-45.4319;Caraguatatuba;SP;11672150;Rua Ministro Dilson Funaro 425 Pontal de Santa Marina Caraguatatuba SP 11672150 Brazil
54;DESTAQUE MOGI DAS CRUZES;08735-000 Av. Fernando Costa 863 CENTRO SP Mogi das Cruzes;-235.319.998;-462.078.841;-23.532;-46.207884;Mogi das Cruzes;SP;08735000;Av Fernando Costa 863 CENTRO Mogi das Cruzes SP 08735000 Brazil
55;DESTAQUE POA;08557-700 Rodovia João Afonso de Souza Castelano 2040 VILA LUCIA SP Poá;-235.097.041;-463.408.266;-23.509704;-46.340827;Poá;SP;08557700;Rodovia Joao Afonso de Souza Castelano 2040 VILA LUCIA Poa SP 08557700 Brazil
