severidade;linha;nome;endereco_dsp;risco
ALTO;131;;Rodovia Helio Smidt Varzea do Palacio Guarulhos SP 07190100 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;133;;Avenida Ayrton Senna da Silva Sitio do Campo Praia Grande SP 11726000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;134;;Passeio dos Flamboyants Parque Faber Castell I Sao Carlos SP 13561352 Brazil;sem numero de porta
ALTO;135;;Rua Coronel Xavier de Toledo Republica Sao Paulo SP 01048000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;136;;Rodovia dos Metalurgicos Sideropolis Volta Redonda RJ Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;137;;BR 470 Fortaleza Blumenau SC Brazil;sem numero de porta
ALTO;140;;Avenida Del Rey Caicaras Belo Horizonte MG 30775240 Brazil;sem numero de porta
ALTO;141;;Rua Olimpiadas Itaim Bibi Sao Paulo SP 04547004 Brazil;sem numero de porta
ALTO;142;;Banco 24 Horas Vila Cloris Belo Horizonte MG 31610070 Brazil;sem numero de porta
ALTO;147;;Avenida Moaci Moema Sao Paulo SP 04083000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;162;;Estrada Nova Lima 3049 Belo Horizonte MG 30320760 Brazil;endereco de rodovia (57-67% falharam)
ALTO;163;;Rua Prof Pedro V Parigot de Souza Mossungue Curitiba PR 81200100 Brazil;sem numero de porta
ALTO;165;;Avenida Ferreira Viana Areal Pelotas RS 96085000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;166;;Avenida Deputado Jacob Salvador Sveibel Butanta Sao Paulo SP 05512390 Brazil;sem numero de porta
ALTO;167;;Puket Aguas Claras DF 71931720 Brazil;"sem numero de porta; logradouro sem nome"
ALTO;168;;Avenida Aldino Pinotti Centro Sao Bernardo do Campo SP 09750730 Brazil;sem numero de porta
ALTO;170;;Rodovia Dom Gabriel Paulino Bueno Couto 422 Itu SP 13304350 Brazil;endereco de rodovia (57-67% falharam)
ALTO;172;;Avenida Giovanni Gronchi Vila Andrade Sao Paulo SP 05724003 Brazil;sem numero de porta
ALTO;173;;Applebee s Marechal Rondon Canoas RS Brazil;sem numero de porta
ALTO;176;;Rua Interna Mogi Guacu SP Brazil;sem numero de porta
ALTO;180;;Estrada da Represa Campo Grande Rio de Janeiro RJ Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;184;;Avenida Piracema Tambore Barueri SP 06460030 Brazil;sem numero de porta
ALTO;186;;Vila Formosa Sao Paulo SP 03342000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
