linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
66;;;endereco;Viaduto Boa Vista, 47, Sé, São Paulo - SP, 01014-030, Brasil;Viaduto Boa Vista 47 Sao Paulo SP 01014030 Brazil;São Paulo;SP;01014030;-23.54724;-46.63343;-23.54724;-46.63343;Sé;;
67;;;endereco;Rua Amazonas, 439, Santa Paula, São Caetano do Sul - SP, 09520-060, Brasil;Rua Amazonas 439 Sao Caetano do Sul SP 09520060 Brazil;São Caetano do Sul;SP;09520060;-23.6146;-46.56912;-23.6146;-46.56912;Santa Paula;;
68;;;endereco;C M Serviços Contabeis, Avenida Frei Pacífico Wagner, 163, Centro, Caraguatatuba - SP, 11660-280, Brasil;Avenida Frei Pacifico Wagner 163 Caraguatatuba SP 11660280 Brazil;Caraguatatuba;SP;11660280;-23.62175;-45.41447;-23.62175;-45.41447;Centro;;
69;;;endereco;Avenida Adolfo Pinheiro, 1029, Santo Amaro, São Paulo - SP, 04734-002, Brasil;Avenida Adolfo Pinheiro 1029 Sao Paulo SP 04734002 Brazil;São Paulo;SP;04734002;-23.64444;-46.7005;-23.64444;-46.7005;Santo Amaro;;
70;;;endereco;Máxima Automóveis, Rua Raimundo Corrêa, Vila Marina Dias, Sorocaba - SP, 18035-265, Brasil;Rua Raimundo Correa Vila Marina Dias Sorocaba SP 18035265 Brazil;Sorocaba;SP;18035265;-23.50616;-47.45842;-23.50616;-47.45842;;ALTO;sem numero de porta
71;;;endereco;10 Andar Torre Maggiore, Rua Nestor Guimarães, Estrela, Ponta Grossa - PR, 84040-130, Brasil;Torre Maggiore Rua Nestor Guimaraes Estrela Ponta Grossa PR 84040130 Brazil;Ponta Grossa;PR;84040130;-25.10325;-50.15891;-25.10325;-50.15891;;ALTO;sem numero de porta
72;;;endereco;Rua Claudionor Sandoval, 741, Jardim Paulista, Presidente Prudente - SP, 19023-200, Brasil;Rua Claudionor Sandoval 741 Presidente Prudente SP 19023200 Brazil;Presidente Prudente;SP;19023200;-22.11526;-51.40016;-22.11526;-51.40016;Jardim Paulista;;
73;;;endereco;Avenida Ayrton Senna da Silva, 600, Palhano, Londrina - PR, 86050-460, Brasil;Avenida Ayrton Senna da Silva 600 Londrina PR 86050460 Brazil;Londrina;PR;86050460;-23.33108;-51.1778;-23.33108;-51.1778;Palhano;;
74;;;endereco;Rua Leoberto Leal, 440, Papanduva - SC, 89370-000, Brasil;Rua Leoberto Leal 440 Papanduva SC 89370000 Brazil;Papanduva;SC;89370000;-26.40786;-50.13989;-26.40786;-50.13989;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
75;;;endereco;Rua Professora Amazilia, 69, União da Vitória - PR, 84600-285, Brasil;Rua Professora Amazilia 69 Uniao da Vitoria PR 84600285 Brazil;União da Vitória;PR;84600285;-26.2285;-51.08983;-26.2285;-51.08983;;;
76;;;endereco;Rua David de Paula e Silva, 687, São Mateus do Sul - PR, 83900-126, Brasil;Rua David de Paula e Silva 687 Sao Mateus do Sul PR 83900126 Brazil;São Mateus do Sul;PR;83900126;-25.87483;-50.38517;-25.87483;-50.38517;;;
77;;;endereco;Rua Marechal Deodoro, 254, Centro, Curitiba - PR, 80020-320, Brasil;Rua Marechal Deodoro 254 Curitiba PR 80020320 Brazil;Curitiba;PR;80020320;-25.43186;-49.26971;-25.43186;-49.26971;Centro;;
78;;;endereco;Avenida Manoel Ribas, 2028, Alto da XV, Guarapuava - PR, 85010-180, Brasil;Avenida Manoel Ribas 2028 Guarapuava PR 85010180 Brazil;Guarapuava;PR;85010180;-25.38773;-51.46199;-25.38773;-51.46199;Alto da XV;;
