linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
141;;;endereco;Estúdio da Sobrancelha, Rua Olimpíadas, Itaim Bibi, São Paulo - SP, 04547-004, Brasil;Rua Olimpiadas Itaim Bibi Sao Paulo SP 04547004 Brazil;São Paulo;SP;04547004;-23.59587;-46.68695;-23.59587;-46.68695;;ALTO;sem numero de porta
142;;;endereco;Banco 24 Horas, Vila Clóris, Belo Horizonte - MG, 31610-070, Brasil;Banco 24 Horas Vila Cloris Belo Horizonte MG 31610070 Brazil;Belo Horizonte;MG;31610070;-19.821;-43.94719;-19.821;-43.94719;;ALTO;sem numero de porta
143;;;endereco;Rua Almirante Barroso, 1294, Centro, Foz do Iguaçu - PR, 85851-010, Brasil;Rua Almirante Barroso 1294 Foz do Iguacu PR 85851010 Brazil;Foz do Iguaçu;PR;85851010;-25.5439;-54.58504;-25.5439;-54.58504;Centro;;
144;;;endereco;Alameda Santos, 1826, Jardim Paulista, São Paulo - SP, 01418-102, Brasil;Alameda Santos 1826 Sao Paulo SP 01418102 Brazil;São Paulo;SP;01418102;-23.56126;-46.65857;-23.56126;-46.65857;Jardim Paulista;;
145;;;endereco;Brs 2 - Rua Visconde de Pirajá Próximo ao 504, Rua Visconde de Pirajá, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil;Brs 2 Rua Visconde de Piraja Proximo ao 504 Rio de Janeiro RJ 22410003 Brazil;Rio de Janeiro;RJ;22410003;-22.98394;-43.21027;-22.98394;-43.21027;Rua Visconde de Pirajá Ipanema;;
146;;;endereco;Rua Garcia d'Avila, 105, Ipanema, Rio de Janeiro - RJ, 22421-010, Brasil;Rua Garcia d Avila 105 Rio de Janeiro RJ 22421010 Brazil;Rio de Janeiro;RJ;22421010;-22.98365;-43.20933;-22.98365;-43.20933;Ipanema;;
147;;;endereco;Avenida Moaci, Moema, São Paulo - SP, 04083-000, Brasil;Avenida Moaci Moema Sao Paulo SP 04083000 Brazil;São Paulo;SP;04083000;-23.60904;-46.66702;-23.60904;-46.66702;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
148;;;endereco;Alameda dos Arapanés, 853, Moema, São Paulo - SP, 04524-001, Brasil;Alameda dos Arapanes 853 Sao Paulo SP 04524001 Brazil;São Paulo;SP;04524001;-23.60514;-46.66544;-23.60514;-46.66544;Moema;;
149;;;endereco;Alameda dos Arapanés, 881, Moema, São Paulo - SP, 04524-001, Brasil;Alameda dos Arapanes 881 Sao Paulo SP 04524001 Brazil;São Paulo;SP;04524001;-23.60535;-46.66553;-23.60535;-46.66553;Moema;;
150;;;endereco;Avenida Iguatemi, 523, Vila Brandina, Campinas - SP, 13092-500, Brasil;Avenida Iguatemi 523 Campinas SP 13092500 Brazil;Campinas;SP;13092500;-22.89323;-47.02905;-22.89323;-47.02905;Vila Brandina;;
151;;;endereco;Luz da Lua, Avenida Roque Petroni Júnior, 1089, Santo Amaro, São Paulo - SP, 04583-110, Brasil;Avenida Roque Petroni Junior 1089 Sao Paulo SP 04583110 Brazil;São Paulo;SP;04583110;-23.62366;-46.69885;-23.62366;-46.69885;Santo Amaro;;
152;;;endereco;Avenida Regente Feijó, 785, Água Rasa, São Paulo - SP, 03342-000, Brasil;Avenida Regente Feijo 785 Sao Paulo SP 03342000 Brazil;São Paulo;SP;03342000;-23.55807;-46.57094;-23.55807;-46.57094;Água Rasa;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
153;;;endereco;Rua Treze de Maio, 1933, Bela Vista, São Paulo - SP, 04849-529, Brasil;Rua Treze de Maio 1933 Sao Paulo SP 04849529 Brazil;São Paulo;SP;04849529;-23.57038;-46.64368;-23.57038;-46.64368;Bela Vista;;
154;;;endereco;Il Barista Cafés Espec, Avenida Roque Petroni Júnior, 1089, Santo Amaro, São Paulo - SP, 04583-110, Brasil;Avenida Roque Petroni Junior 1089 Sao Paulo SP 04583110 Brazil;São Paulo;SP;04583110;-23.62346;-46.69891;-23.62346;-46.69891;Santo Amaro;;
155;;;endereco;Kosushi-Shopping Cidade Jardim, Avenida Magalhães de Castro, 12000, Morumbi, São Paulo - SP, 05676-030, Brasil;Avenida Magalhaes de Castro 12000 Sao Paulo SP 05676030 Brazil;São Paulo;SP;05676030;-23.59817;-46.69741;-23.59817;-46.69741;Morumbi;;
156;;;endereco;Avenida Doutor Cardoso de Melo, 854, Itaim Bibi, São Paulo - SP, 04548-004, Brasil;Avenida Doutor Cardoso de Melo 854 Sao Paulo SP 04548004 Brazil;São Paulo;SP;04548004;-23.59937;-46.68282;-23.59937;-46.68282;Itaim Bibi;;
157;;;endereco;Avenida Higienópolis, 618, Consolação, São Paulo - SP, 01238-001, Brasil;Avenida Higienopolis 618 Sao Paulo SP 01238001 Brazil;São Paulo;SP;01238001;-23.54271;-46.6576;-23.54271;-46.6576;Consolação;;
158;;;endereco;Avenida Magalhães de Castro, 12000, Morumbi, São Paulo - SP, 05502-001, Brasil;Avenida Magalhaes de Castro 12000 Sao Paulo SP 05502001 Brazil;São Paulo;SP;05502001;-23.59804;-46.69763;-23.59804;-46.69763;Morumbi;;
159;;;endereco;Rua Garcia d'Avila, 118, Ipanema, Rio de Janeiro - RJ, 22421-010, Brasil;Rua Garcia d Avila 118 Rio de Janeiro RJ 22421010 Brazil;Rio de Janeiro;RJ;22421010;-22.9834;-43.20918;-22.9834;-43.20918;Ipanema;;
160;;;endereco;Sindicato das Empresas Operadoras e Proprietarias dos Meios, Rua Frei Caneca, 1407, Consolação, São Paulo - SP, 01307-002, Brasil;Rua Frei Caneca 1407 Sao Paulo SP 01307002 Brazil;São Paulo;SP;01307002;-23.55858;-46.65864;-23.55858;-46.65864;Consolação;;
161;;;endereco;Avenida Brasil, 589, Bairro de Lourdes, Anápolis - GO, 75095-795, Brasil;Avenida Brasil 589 Anapolis GO 75095795 Brazil;Anápolis;GO;75095795;-16.33421;-48.91706;-16.33421;-48.91706;Bairro de Lourdes;;
162;;;endereco;Estrada Nova Lima, 3049, Belvedere, Belo Horizonte - MG, 30320-760, Brasil;Estrada Nova Lima 3049 Belo Horizonte MG 30320760 Brazil;Belo Horizonte;MG;30320760;-19.97449;-43.94491;-19.97449;-43.94491;Belvedere;ALTO;endereco de rodovia (57-67% falharam)
