linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
45;;;endereco;Rua Verbo Divino, 1661, Santo Amaro, São Paulo - SP, 04719-002, Brasil;Rua Verbo Divino 1661 Sao Paulo SP 04719002 Brazil;São Paulo;SP;04719002;-23.63146;-46.71135;-23.63146;-46.71135;Santo Amaro;;
46;;;endereco;Avenida Presidente Wilson, 84, Cambuci, São Paulo - SP, 03107-000, Brasil;Avenida Presidente Wilson 84 Sao Paulo SP 03107000 Brazil;São Paulo;SP;03107000;-23.55657;-46.6103;-23.55657;-46.6103;Cambuci;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
47;;;endereco;Alameda Santos, 65, Vila Mariana, São Paulo - SP, 01419-000, Brasil;Alameda Santos 65 Sao Paulo SP 01419000 Brazil;São Paulo;SP;01419000;-23.57184;-46.64587;-23.57184;-46.64587;Vila Mariana;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
48;;;endereco;Sala Quito, Santo Amaro, São Paulo - SP, 04795-100, Brasil;Sala Quito Santo Amaro Sao Paulo SP 04795100 Brazil;São Paulo;SP;04795100;-23.65078;-46.72285;-23.65078;-46.72285;;ALTO;sem numero de porta
49;;;endereco;Projeto Viol, Itaim Bibi, São Paulo - SP, 04543-011, Brasil;Projeto Viol Itaim Bibi Sao Paulo SP 04543011 Brazil;São Paulo;SP;04543011;-23.59144;-46.68748;-23.59144;-46.68748;;ALTO;sem numero de porta
50;;;endereco;Rua Amauri, 255, Itaim Bibi, São Paulo - SP, 01448-000, Brasil;Rua Amauri 255 Sao Paulo SP 01448000 Brazil;São Paulo;SP;01448000;-23.58112;-46.68271;-23.58112;-46.68271;Itaim Bibi;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
51;;;endereco;Avenida Jacinto Júlio, Cidade Dutra, São Paulo - SP, 04815-160, Brasil;Avenida Jacinto Julio Cidade Dutra Sao Paulo SP 04815160 Brazil;São Paulo;SP;04815160;-23.70301;-46.69259;-23.70301;-46.69259;;ALTO;sem numero de porta
52;;;endereco;Rua James Joule, 65, Itaim Bibi, São Paulo - SP, 04576-080, Brasil;Rua James Joule 65 Sao Paulo SP 04576080 Brazil;São Paulo;SP;04576080;-23.61116;-46.69587;-23.61116;-46.69587;Itaim Bibi;;
53;;;endereco;Baía do Rods, Rua Engenheiro Francisco Pitta Brito, Santo Amaro, São Paulo - SP, 04753-080, Brasil;Rua Engenheiro Francisco Pitta Brito Santo Amaro Sao Paulo SP 04753080 Brazil;São Paulo;SP;04753080;-23.65401;-46.71648;-23.65401;-46.71648;;ALTO;sem numero de porta
54;;;endereco;Restaurante Morte Lenta, Rua Ramon Penharrubia, Vila Mariana, São Paulo - SP, 01323-140, Brasil;Rua Ramon Penharrubia Vila Mariana Sao Paulo SP 01323140 Brazil;São Paulo;SP;01323140;-23.57359;-46.64181;-23.57359;-46.64181;;ALTO;sem numero de porta
