linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
36;;;endereco;Estrada da Gávea, 800, São Conrado, Rio de Janeiro - RJ, 22610-002, Brasil;Estrada da Gavea 800 Rio de Janeiro RJ 22610002 Brazil;Rio de Janeiro;RJ;22610002;-22.99735;-43.26438;-22.99735;-43.26438;São Conrado;ALTO;endereco de rodovia (57-67% falharam)
37;;;endereco;Rua Episcopal, 1457, Centro, São Carlos - SP, 13560-570, Brasil;Rua Episcopal 1457 Sao Carlos SP 13560570 Brazil;São Carlos;SP;13560570;-22.01767;-47.89194;-22.01767;-47.89194;Centro;;
38;;;endereco;Avenida Julio de Vasconcelos, Nova Veneza, Sumaré - SP, 13174-405, Brasil;Avenida Julio de Vasconcelos Nova Veneza Sumare SP 13174405 Brazil;Sumaré;SP;13174405;-22.8116;-47.25776;-22.8116;-47.25776;;ALTO;sem numero de porta
39;;;endereco;Rua São José Golfe, Condomínio Terras de São José, Itu - SP, Brasil;Rua Sao Jose Golfe Condominio Terras de Sao Jose Itu SP Brazil;Itu;SP;;-23.30763;-47.29666;-23.30763;-47.29666;;ALTO;sem numero de porta
40;;;endereco;Rua 3, Campinho, Bragança Paulista - SP, 12918-001, Brasil;Rua 3 Campinho Braganca Paulista SP 12918001 Brazil;Bragança Paulista;SP;12918001;-22.94914;-46.64444;-22.94914;-46.64444;;ALTO;sem numero de porta
41;;;endereco;Estrada Iva-351, Itupeva - SP, 13295-000, Brasil;Estrada Iva 351 Itupeva SP 13295000 Brazil;Itupeva;SP;13295000;-23.16867;-47.07155;-23.16867;-47.07155;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
42;;;endereco;Estrada Fazenda Velha, 3365, Arujá - SP, 07400-000, Brasil;Estrada Fazenda Velha 3365 Aruja SP 07400000 Brazil;Arujá;SP;07400000;-23.36972;-46.35357;-23.36972;-46.35357;;ALTO;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
43;;;endereco;Rua Galenbeck, São Bernardo do Campo - SP, Brasil;Rua Galenbeck Sao Bernardo do Campo SP Brazil;São Bernardo do Campo;SP;;-23.81262;-46.47334;-23.81262;-46.47334;;ALTO;sem numero de porta
44;;;endereco;Rua Osvaldo Scartezini, 118, Cafelândia - PR, 85415-000, Brasil;Rua Osvaldo Scartezini 118 Cafelandia PR 85415000 Brazil;Cafelândia;PR;85415000;-24.63392;-53.30974;-24.63392;-53.30974;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
45;;;endereco;Estrada do Matão I, Vargem Grande Paulista - SP, 06730-000, Brasil;Estrada do Matao I Vargem Grande Paulista SP 06730000 Brazil;Vargem Grande Paulista;SP;06730000;-23.62167;-47.01852;-23.62167;-47.01852;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
46;;;endereco;Estrada da Barra da Tijuca, Itanhangá, Rio de Janeiro - RJ, 22611-201, Brasil;Estrada da Barra da Tijuca Itanhanga Rio de Janeiro RJ 22611201 Brazil;Rio de Janeiro;RJ;22611201;-22.9914;-43.30407;-22.9914;-43.30407;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta"
47;;;endereco;Rua Doutor Armando da Silva Prado, 300, Campo Grande, São Paulo - SP, 04672-040, Brasil;Rua Doutor Armando da Silva Prado 300 Sao Paulo SP 04672040 Brazil;São Paulo;SP;04672040;-23.6641;-46.69905;-23.6641;-46.69905;Campo Grande;;
48;;;endereco;Prefeitura de Valinhos, Rua Antônio Carlos, 301, Centro, Valinhos - SP, 13270-005, Brasil;Rua Antonio Carlos 301 Valinhos SP 13270005 Brazil;Valinhos;SP;13270005;-22.97139;-46.99417;-22.97139;-46.99417;Centro;;
