severidade;linha;nome;endereco_dsp;risco
MEDIO;64;;Rua dos Fernandes 287 Natividade da Serra SP 12180000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;65;;Avenida Governador Celso Ramos 1345 Porto Belo SC 88210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;67;;Rua Joaquim Lopes 876 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;68;;Rua Tijucas 63 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;69;;Avenida Perimetral 340 Rio Pardo RS 96640000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;71;;Rua Rodrigo 245 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;73;;Rua Vinte e Seis 129 Ita SC 89760000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;74;;Rua Amadeu Prianti Chaves 40 Igarata SP 12350000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;75;;Rua Ilhota 1521 Itapoa SC 89249000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;76;;Rua Tijuana 2415 Ilha Comprida SP 11925000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;78;;Rua Antonio Bento Peixoto 744 Miguelopolis SP 14530000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;79;;Rua Pirapua 443 Itapoa SC 89249000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;81;;Avenida Governador Celso Ramos 2825 Porto Belo SC 88210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;82;;Rua Urcezino Ferreira 706 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;83;;Rua Wilson Rodrigues de Oliveira 522 Ribeirao Claro PR 86410000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;84;;Avenida Dois 18 Itirapina SP 13530000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;86;;Rua Fortunato Campante 1806 Pauliceia SP 17990000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;91;;Avenida Iguacu 809 Nova Prata do Iguacu PR 85685000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;92;;Rua Vereador Luiz Benedito 120 Santa Isabel SP 07500000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;93;;Avenida Iguacu 833 Sao Miguel do Iguacu PR 85877000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;95;;Rua Marte 473 Capitolio MG 37930000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;98;;Rua Tubarao 308 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;102;;Avenida Jair Leite 781 Pimenta MG 35585000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;104;;Avenida Jaragua do Sul 251 Balneario Barra do Sul SC 89247000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;107;;Rua Garca 138 Ubatuba SP 11680000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;108;;Avenida Principal 1189 Bertioga SP 11250000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;110;;Rua Josue de Paula 1550 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;111;;Rua Vinte e Quatro de Julho 867 Buriti Alegre GO 75660000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;112;;Avenida Jose Herculano 7311 Caraguatatuba SP 11667000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;120;;Rua Marechal Deodoro 211 Mangueirinha PR 85540000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;124;;Rua Calixto Jorge 381 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;125;;Rua Blandina Steiner Beckhauser 922 Sao Francisco do Sul SC 89240000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;126;;Avenida Damiao Botelho de Souza 1310 Guaratuba PR 83280000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;130;;Rua dos Jamboloes 490 Eldorado do Sul RS 92990000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;135;;Rua Luis Vaz de Camoes 655 Adolfo SP 15230000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;138;;Rua Ernesto M Simoes 360 Cananeia SP 11990000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;139;;Rua Jose Mantuani 514 Marilena PR 87960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;140;;Rua Antonio Olaia 180 Guape MG 37177000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;141;;Avenida Marginal 2380 Itirapina SP 13530000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;142;;Rua Jose Benardino Rodrigues 450 Guape MG 37177000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;148;;Rua Calixto Jorge 184 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;151;;Rua Pocidonio Carvalho 47 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;154;;Avenida Governador Celso Ramos 2825 Porto Belo SC 88210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;155;;Rua Guarani 171 Fama MG 37144000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;156;;Rua Quinze de Novembro 70 Mangaratiba RJ 23860000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;157;;Rua Luiz Figueiredo 25 Joanopolis SP 12980000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;159;;Avenida Parana 93 Sao Pedro do Parana PR 87955000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;169;;Avenida Sambaqui 294 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;170;;Avenida Joao Carraro 80 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;174;;Avenida Almirante Tamandare 525 Ilhabela SP 11630000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;175;;Avenida Rui Barbosa 366 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;176;;Rua Joaquim Cristovao 200 Panorama SP 17980000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;177;;Rua Amor Perfeito 162 Barra Velha SC 88390000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;178;;Alameda do Cafe 11 Pontal do Parana PR 83255000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;182;;Rua Camilo de Oliveira 60 Balneario Barra do Sul SC 89247000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;185;;Rua Cento e Dezoito 142 Itapema SC 88220000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
