severidade;linha;nome;endereco_dsp;risco
ALTO;181;;BR 251 Brazlandia DF Brazil;"sem numero de porta; logradouro sem nome"
ALTO;182;;Avenida Central Leste Gama DF Brazil;sem numero de porta
ALTO;183;;Alameda das Paineiras Jardim Goias Goiania GO 74810102 Brazil;sem numero de porta
ALTO;184;;Regus Praca XV Centro Rio de Janeiro RJ 20010010 Brazil;sem numero de porta
ALTO;186;;Praia do Iguacu T02 Vila do Abraao Angra dos Reis RJ Brazil;sem numero de porta
ALTO;187;;T02 Vila do Abraao Angra dos Reis RJ Brazil;sem numero de porta
ALTO;188;;Avenida Gen Euclides de O Figueiredo Itaguai RJ 23826600 Brazil;sem numero de porta
ALTO;189;;Mistura Classica Verolme Angra dos Reis RJ Brazil;sem numero de porta
ALTO;190;;Rua Gleba D Portogalo Angra dos Reis RJ 23917010 Brazil;sem numero de porta
ALTO;191;;Sorvete Italia Urca Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;193;;Rodovia Governador Mario Covas Mangaratiba RJ 23860000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;194;;BR Marinas Verolme Angra dos Reis RJ Brazil;sem numero de porta
ALTO;195;;Estrada Municipal Praia da Chacara Angra dos Reis RJ 23906175 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;197;;Rua Niteroi Tibery Uberlandia MG 38405178 Brazil;sem numero de porta
ALTO;199;;Alameda Antonio Elias de Deus Aparecida de Goiania GO 74988820 Brazil;sem numero de porta
ALTO;201;;Jardim Goias Goiania GO 74810030 Brazil;sem numero de porta
ALTO;202;;Rua E M Um Vila Sul Aparecida de Goiania GO Brazil;sem numero de porta
ALTO;203;;Avenida Portugal Marista Goiania GO 74150030 Brazil;sem numero de porta
ALTO;204;;Espaco Agir Academia Crer Crimeia Leste Goiania GO Brazil;sem numero de porta
ALTO;205;;Rua Nove 36 1 Vila Regina Goiania GO 74463550 Brazil;sem numero de porta
ALTO;206;;Alameda das Sibipirunas 27 6 Ceasa Goiania GO 74680510 Brazil;sem numero de porta
ALTO;207;;Rua Mil Cento e Quarenta e Dois 257 12 Marista Goiania GO 74180190 Brazil;sem numero de porta
ALTO;209;;BR 060 Indiara GO 75955000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;210;;Avenida Gov Ludovico de Almeida Santo Hilario Goiania GO Brazil;sem numero de porta
ALTO;211;;Conjunto Residencial Santa Fe Aparecida de Goiania GO 74350785 Brazil;sem numero de porta
ALTO;212;;Avenida Nacional Polo Empresarial Goias Aparecida de Goiania GO 74983180 Brazil;sem numero de porta
ALTO;213;;Palacio Pedro Ludovico Teixeira Praca Dr Pedro Ludovico Teixeira Central Goiania GO 74083010 Brazil;sem numero de porta
ALTO;215;;Usina Colombo Santa Albertina SP Santa Albertina SP 15750000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;217;;GO 010 Leopoldo de Bulhoes GO 75190000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;219;;Avenida Tocantins Jardim Rio Grande Aparecida de Goiania GO 74982540 Brazil;sem numero de porta
ALTO;220;;Avenida Deputado Jamel Cecilio Autodromo Goiania GO 74820050 Brazil;sem numero de porta
ALTO;221;;Jardim Goias Goiania GO Brazil;sem numero de porta
ALTO;223;;Sitio Primavera Goianira GO 75370000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;231;;Rodovia Rio Santos Piraquara Angra dos Reis RJ Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;232;;108C Jardim Primavera Duque de Caxias RJ Brazil;sem numero de porta
ALTO;234;;Observatorio Nuclear Usina Nuclear Angra dos Reis RJ Brazil;sem numero de porta
ALTO;236;;Luts Chales Goncalves MG 37680000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;237;;Clube dos Loucos Filial Paraty Paraty Mirim Paraty RJ 23970000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;238;;Vinicola Santa Maria Sao Bento do Sapucai SP 12490000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;240;;Floresta da Tijuca Estrada Mirante Dona Marta Brazil;sem numero de porta
ALTO;243;;Vinicola Jabuticabal Hidrolandia GO 75340000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;244;;Avenida Marechal Floriano Peixoto Reboucas Curitiba PR 80230110 Brazil;sem numero de porta
ALTO;245;;Avenida Jardim Botanico Jardim Botanico Curitiba PR 81560000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;247;;Rodovia Regis Bittencourt Xaxim Curitiba PR 81460090 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;248;;Rua Joao Sigismundo Wysocri Orleans Curitiba PR 82310435 Brazil;sem numero de porta
ALTO;249;;Rodovia Regis Bittencourt Jardim Botanico Curitiba PR 81460090 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
