linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
50;;;endereco;Avenida Benedito Valadares, 47, Sacramento - MG, 38190-000, Brasil;Avenida Benedito Valadares 47 Sacramento MG 38190000 Brazil;Sacramento;MG;38190000;-19.8665;-47.44078;-19.8665;-47.44078;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
51;;;endereco;Estrada Cubatão Grande, 2315, Vila Cubatão, Joinville - SC, 89226-833, Brasil;Estrada Cubatao Grande 2315 Joinville SC 89226833 Brazil;Joinville;SC;89226833;-26.20119;-48.79053;-26.20119;-48.79053;Vila Cubatão;ALTO;endereco de rodovia (57-67% falharam)
52;;;endereco;SC-410, Governador Celso Ramos - SC, 88190-000, Brasil;SC 410 Governador Celso Ramos SC 88190000 Brazil;Governador Celso Ramos;SC;88190000;-27.36639;-48.55693;-27.36639;-48.55693;;ALTO;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
53;;;endereco;Rua M. T. da Conceição, 23, Nazaré Paulista - SP, 12960-000, Brasil;Rua M T da Conceicao 23 Nazare Paulista SP 12960000 Brazil;Nazaré Paulista;SP;12960000;-23.18156;-46.39787;-23.18156;-46.39787;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
54;;;endereco;Rua do Feliciano, Nazaré Paulista - SP, 12960-000, Brasil;Rua do Feliciano Nazare Paulista SP 12960000 Brazil;Nazaré Paulista;SP;12960000;-23.16597;-46.4014;-23.16597;-46.4014;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
55;;;endereco;Avenida Força Expedicionária Brasileira, 495, Ilhabela - SP, 11630-000, Brasil;Avenida Forca Expedicionaria Brasileira 495 Ilhabela SP 11630000 Brazil;Ilhabela;SP;11630000;-23.77444;-45.35389;-23.77444;-45.35389;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
56;;;endereco;Rua Izamira Pinto Santana, 499, Porto Novo, Caraguatatuba - SP, 11667-360, Brasil;Rua Izamira Pinto Santana 499 Caraguatatuba SP 11667360 Brazil;Caraguatatuba;SP;11667360;-23.69291;-45.43807;-23.69291;-45.43807;Porto Novo;;
57;;;endereco;Tim Celular S/A., Rua Artista Bittencourt, 30, Centro, Florianópolis - SC, 88020-060, Brasil;Rua Artista Bittencourt 30 Florianopolis SC 88020060 Brazil;Florianópolis;SC;88020060;-27.59538;-48.54805;-27.59538;-48.54805;Centro;;
58;;;endereco;Rua Maria Francisca Pereira, 1997, Rosana - SP, 19273-000, Brasil;Rua Maria Francisca Pereira 1997 Rosana SP 19273000 Brazil;Rosana;SP;19273000;-22.57535;-53.05737;-22.57535;-53.05737;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
59;;;endereco;Rodovia Prefeito Casimiro Teixeira, Iguape - SP, 11920-000, Brasil;Rodovia Prefeito Casimiro Teixeira Iguape SP 11920000 Brazil;Iguape;SP;11920000;-24.69563;-47.57084;-24.69563;-47.57084;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
60;;;endereco;Rua Joaquim Lopes, Porto Rico - PR, 87950-000, Brasil;Rua Joaquim Lopes Porto Rico PR 87950000 Brazil;Porto Rico;PR;87950000;-22.7713;-53.26617;-22.7713;-53.26617;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
61;;;endereco;Estrada da Cumbica, 422, Jardim Ângela, São Paulo - SP, 04947-000, Brasil;Estrada da Cumbica 422 Sao Paulo SP 04947000 Brazil;São Paulo;SP;04947000;-23.72009;-46.75635;-23.72009;-46.75635;Jardim Ângela;ALTO;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
62;;;endereco;Avenida Eurico Gaspar Dutra, 40, Tabatinga, Caraguatatuba - SP, 11679-200, Brasil;Avenida Eurico Gaspar Dutra 40 Caraguatatuba SP 11679200 Brazil;Caraguatatuba;SP;11679200;-23.57279;-45.27481;-23.57279;-45.27481;Tabatinga;;
63;;;endereco;Avenida Paraná, 556, São Pedro do Paraná - PR, 87955-000, Brasil;Avenida Parana 556 Sao Pedro do Parana PR 87955000 Brazil;São Pedro do Paraná;PR;87955000;-22.82435;-53.22464;-22.82435;-53.22464;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
64;;;endereco;Rua dos Fernandes, 287, Natividade da Serra - SP, 12180-000, Brasil;Rua dos Fernandes 287 Natividade da Serra SP 12180000 Brazil;Natividade da Serra;SP;12180000;-23.37939;-45.44376;-23.37939;-45.44376;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
65;;;endereco;Avenida Governador Celso Ramos, 1345, Porto Belo - SC, 88210-000, Brasil;Avenida Governador Celso Ramos 1345 Porto Belo SC 88210000 Brazil;Porto Belo;SC;88210000;-27.16141;-48.5794;-27.16141;-48.5794;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
