severidade;linha;nome;endereco_dsp;risco
MEDIO;156;;Rua Luciano Notagiacomo 510 Sao Luiz Gonzaga RS 97800000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;157;;Rua Dalila Lorenzoni 139 Entre Ijuis RS 98855000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;158;;Rua Menna Barreto 1425 Jaguarao RS 96300000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;159;;Rua dos Pinheiros 324 Sao Paulo SP 05422000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;160;;Rua dos Pinheiros 266 Sao Paulo SP 05422000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;163;;Rua Augusta 15 Sao Paulo SP 01305000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;165;;Rua Oscar Freire 384 Sao Paulo SP 01426000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;166;;Rua Doutor Renato Paes de Barros 465 Sao Paulo SP 04530000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;172;;Avenida Paulista 1578 Sao Paulo SP 01310000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;176;;Avenida Presidente Juscelino Kubitschek 816 Sao Paulo SP 04543000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;177;;Rua Joaquim Antunes 110 Sao Paulo SP 05415000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;182;;Rua Oscar Freire 216 Sao Paulo SP 01426000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;186;;Rua Treze de Maio 596 Sao Paulo SP 01327000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;188;;Rua Manuel da Nobrega 66 Sao Paulo SP 04001000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;191;;Rua Harmonia 521 Sao Paulo SP 05435000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;200;;Rua Cotoxo 110 Sao Paulo SP 05021000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
