severidade;linha;nome;endereco_dsp;risco
ALTO;510;;Essendi Clinica Barra da Tijuca Rio de Janeiro RJ 22640100 Brazil;sem numero de porta
ALTO;511;;Avenida Nilo Pecanha Centro Rio de Janeiro RJ 20020100 Brazil;sem numero de porta
ALTO;514;;Rua Quinze de Novembro Centro Niteroi RJ 24020125 Brazil;sem numero de porta
ALTO;519;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22640102 Brazil;sem numero de porta
ALTO;520;;Rua do Passeio Centro Rio de Janeiro RJ 20021290 Brazil;sem numero de porta
ALTO;564;;Rua da Paisagem Nova Lima MG 34006059 Brazil;sem numero de porta
ALTO;576;;Qe 7 Guara DF 71020115 Brazil;logradouro sem nome
ALTO;578;;Rua C 237 540 13 Jardim America Goiania GO 74290140 Brazil;sem numero de porta
ALTO;579;;Dermatologia Orion Oeste Goiania GO 74150030 Brazil;sem numero de porta
ALTO;580;;Rua C 38 Jardim America Goiania GO 74265280 Brazil;sem numero de porta
ALTO;581;;Rua Maria Alice 63 10 Jardim Atlantico Goiania GO 74345290 Brazil;sem numero de porta
ALTO;585;;ATM Asa Norte Brasilia DF 70716900 Brazil;sem numero de porta
ALTO;587;;Rua Lazer Urias Magalhaes Goiania GO 74013035 Brazil;sem numero de porta
ALTO;588;;Avenida T 15 Bueno Goiania GO 74230010 Brazil;sem numero de porta
ALTO;589;;Via Hi 4 Lago Sul DF 71615110 Brazil;endereco de rodovia (57-67% falharam)
ALTO;592;;Sescoop Ocb Asa Sul Brasilia DF 70070936 Brazil;sem numero de porta
ALTO;593;;SQN 111 Asa Norte Brasilia DF 70754020 Brazil;sem numero de porta
ALTO;594;;SQN 210 Bloco D Asa Norte Brasilia DF 70862050 Brazil;sem numero de porta
ALTO;597;;Avenida das Araucarias Aguas Claras DF 71927000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;598;;Mrv Engenharia Asa Sul Brasilia DF 70306000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;599;;Sbn Bloco B Asa Norte Brasilia DF 70040020 Brazil;sem numero de porta
ALTO;601;;Rodovia GO 010 Goiania GO Brazil;endereco de rodovia (57-67% falharam)
ALTO;602;;Rua Cinquenta e Seis Jardim Goias Goiania GO 74810240 Brazil;sem numero de porta
ALTO;603;;Sia Guara DF 71215000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;604;;Windsor Brasilia Hotel Shn Asa Norte Brasilia DF 70701030 Brazil;sem numero de porta
ALTO;606;;Rua C 267 614 17 Nova Suica Goiania GO 74280290 Brazil;sem numero de porta
ALTO;611;;CLN 202 Bloco C Bloco C Asa Norte Brasilia DF 70832535 Brazil;sem numero de porta
ALTO;612;;Avenida T 63 2 8 Jardim Europa Goiania GO 74335030 Brazil;sem numero de porta
ALTO;613;;Rua C 139 567 13 Jardim America Goiania GO 74268165 Brazil;sem numero de porta
ALTO;615;;Rua Quatro D 128 17 Setor Garavelo Aparecida de Goiania GO 74930090 Brazil;sem numero de porta
ALTO;619;;Elia Spa Aguas Claras DF 71931720 Brazil;sem numero de porta
ALTO;622;;Avenida Milao Celina Park Goiania GO 74373270 Brazil;sem numero de porta
ALTO;623;;Avenida C Cento e Setenta e Um Jardim America Goiania GO 74275010 Brazil;sem numero de porta
