audiencia;lat;lng
joalherias;-15.58781;-56.112
joalherias;-3.75692;-38.48827
joalherias;-5.17553;-37.36995
joalherias;-2.5218;-44.22598
joalherias;-3.77549;-38.5819
joalherias;-20.75819;-51.6938
marinas;-0.05466;-51.17925
marinas;-3.02693;-60.09758
marinas;-2.19939;-56.71305
marinas;-1.68072;-50.47952
marinas;2.82864;-60.65787
marinas;-2.42123;-54.74104
marinas;-9.69168;-35.7753
marinas;-23.08407;-53.48434
marinas;-20.31298;-40.35845
marinas;-13.36507;-39.06263
marinas;-1.47697;-48.48247
marinas;-0.0574;-51.15382
marinas;-15.46478;-55.75035
marinas;-23.37093;-53.74893
marinas;-12.78703;-38.40329
marinas;-2.85811;-41.81895
marinas;-7.84916;-34.84561
marinas;-16.10422;-57.69272
marinas;-15.86284;-56.07925
marinas;-2.759;-42.82362
marinas;-2.80946;-42.86887
marinas;-15.63029;-56.07325
marinas;-9.3879;-40.48447
marinas;-20.29119;-40.29992
marinas;-16.44435;-39.06537
marinas;-8.59144;-35.11863
marinas;-8.88982;-35.15151
marinas;-20.79051;-51.70844
marinas;-14.91139;-55.82197
marinas;-15.2941;-39.06768
marinas;-0.74765;-48.02504
marinas;-6.09369;-35.19945
marinas;-12.81096;-38.45268
marinas;-11.06184;-55.27705
marinas;-14.10395;-39.0153
marinas;-8.05784;-34.8829
marinas;-8.13815;-34.9557
marinas;-7.55734;-34.99654
marinas;-1.35151;-48.46059
marinas;-9.68948;-35.77355
marinas;-2.90914;-41.78849
marinas;-9.32157;-64.7472
marinas;-9.42953;-40.73174
marinas;-11.1103;-37.15473
marinas;-11.06361;-37.13848
marinas;-23.36624;-53.74838
marinas;-2.53856;-44.29688
marinas;-7.92707;-34.82208
marinas;-8.75787;-35.10507
marinas;-9.83918;-35.90853
marinas;-13.08642;-55.92875
marinas;-1.475;-48.4732
marinas;-17.52778;-39.1921
marinas;-6.97381;-34.8376
marinas;-24.08015;-54.26073
marinas;-7.03459;-34.85524
marinas;-12.92208;-38.49135
marinas;-23.40326;-53.80996
marinas;-7.74808;-34.83063
marinas;-20.08774;-51.09661
marinas;-1.26814;-48.44396
marinas;-6.64137;-51.98253
marinas;-5.084;-42.83651
marinas;-10.94725;-37.07308
marinas;-17.74295;-39.24641
marinas;-19.00005;-57.62785
marinas;-7.86019;-34.83947
marinas;-3.10096;-60.06928
