lat,lng,formatted_address,city,uf,cep
-22.86287,-43.44306,"Avenida Brasil, 28725, Realengo, Rio de Janeiro - RJ, 21730-231, Brasil",Rio de Janeiro,RJ,21730-231
-23.10041,-48.91604,"Rua Amazonas, Braz I, Avaré - SP, 18701-180, Brasil",Avaré,SP,18701-180
-22.94058,-46.9772,"Avenida Um, 539, Espírito Santo, Valinhos - SP, 13273-609, Brasil",Valinhos,SP,13273-609
-21.71528,-49.72854,"Rodovia Marechal Rondon, Lins - SP, Brasil",Lins,SP,
-20.00229,-43.88971,"Rua Ludovico Barbosa, 385, Nova Lima - MG, 34004-630, Brasil",Nova Lima,MG,34004-630
-22.41428,-43.12737,"Avenida dos Amores, 123, Itaipava, Petrópolis - RJ, 25730-320, Brasil",Petrópolis,RJ,25730-320
-25.74645,-53.06157,"Avenida Presidente Castelo Branco, 935, Dois Vizinhos - PR, 85660-000, Brasil",Dois Vizinhos,PR,85660-000
-22.48367,-42.20154,"Rua Fábio José Ribeiro, 314, Casimiro de Abreu - RJ, 28860-000, Brasil",Casimiro de Abreu,RJ,28860-000
-22.42845,-43.1156,"Avenida Country Club, 4995, Cascatinha, Petrópolis - RJ, 25730-410, Brasil",Petrópolis,RJ,25730-410
-23.87141,-49.80246,"Avenida Avelino Vieira, 162, Wenceslau Braz - PR, 84950-000, Brasil",Wenceslau Braz,PR,84950-000
-23.82555,-51.6679,"Avenida Paraná, 643, Kaloré - PR, 86920-000, Brasil",Kaloré,PR,86920-000
-25.53184,-49.20357,"Casa da Juh e do Andrew, Centro, São José dos Pinhais - PR, 83005-160, Brasil",São José dos Pinhais,PR,83005-160
-21.93145,-42.60504,"Rua Senador Dantas, 701, Carmo - RJ, 28640-000, Brasil",Carmo,RJ,28640-000
-28.05768,-53.06844,"Farmácias São João, Rua Alfredo Winck, 829, Chapada - RS, 99530-000, Brasil",Chapada,RS,99530-000
-21.97042,-46.7625,"Rua José Ribeiro da Silva, 1101, Jardim Recanto do Bosque, São João da Boa Vista - SP, 13874-421, Brasil",São João da Boa Vista,SP,13874-421
-22.93634,-43.23884,"Rua Uruguai, 574, Tijuca, Rio de Janeiro - RJ, 20510-060, Brasil",Rio de Janeiro,RJ,20510-060
-22.20182,-45.2597,"Rua Marechal Deodoro da Fonseca, 167, Cristina - MG, 37476-000, Brasil",Cristina,MG,37476-000
-24.61263,-53.32518,"Estrada Rural, Cafelândia - PR, 85415-000, Brasil",Cafelândia,PR,85415-000
-22.80787,-45.19688,"Praça Treze de Maio, 131, Pedregulho, Guaratinguetá - SP, 12515-025, Brasil",Guaratinguetá,SP,12515-025
-19.90678,-42.22854,"Caratinga, MG, Brasil",Caratinga,MG,35300-036
-22.98513,-43.21232,"Rua Prudente de Morais, 1597, Ipanema, Rio de Janeiro - RJ, 22420-043, Brasil",Rio de Janeiro,RJ,22420-043
-17.74052,-46.17416,"Rua João Antônio de Sousa, João Pinheiro - MG, 38770-000, Brasil",João Pinheiro,MG,38770-000
-23.18439,-50.64285,"Avenida Alberto Carazzai, 313, Cornélio Procópio - PR, 86300-000, Brasil",Cornélio Procópio,PR,86300-000
-23.50308,-46.50183,"Rua Careiro, 69, Cangaíba, São Paulo - SP, 03758-040, Brasil",São Paulo,SP,03758-040
