name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,POI,Estado,Latitude,Longitude,Radius Distance
,,,"Rua Colômbia, 810, Jardim Paulista, São Paulo - SP, 01438-001, Brasil",São Paulo,,SP,,01438-001,-23.57179,-46.67473,,,,,,Concessionárias,SP,-23.5717506,-46.6747154,0.3
,,,"Terminal Asa Sul, Asa Sul, Brasília - DF, 70610-200, Brasil",Brasília,,DF,,70610-200,-15.8361,-47.93314,,,,,,Concessionárias,Demais Praças,-15.8361178,-47.9331995,0.3
,,,"Feirão do Automóvel de Jundiaí, Avenida Prefeito Luiz Latorre, Chácara Urbana, Jundiaí - SP, 13209-430, Brasil",Jundiaí,,SP,,13209-430,-23.17662,-46.90528,,,,,,Concessionárias,SP,-23.1768573,-46.9052058,0.3
,,,"DIMAS (BALNEARIO CAMBURIU), Avenida do Estado, 4770, Ariribá, Balneário Camboriú - SC, 88338-630, Brasil",Balneário Camboriú,,SC,,88338-630,-26.96095,-48.64049,,,,,,Concessionárias,Demais Praças,-26.9609204,-48.6404647,0.3
,,,"Rua Gomes de Carvalho, 411, Itaim Bibi, São Paulo - SP, 04547-001, Brasil",São Paulo,,SP,,04547-001,-23.60057,-46.67804,,,,,,Concessionárias,SP,-23.6007017,-46.6781041,0.3
,,,"Avenida Pedro Henrique Cintra, 1800, Franca - SP, 14403-187, Brasil",Franca,,SP,,14403-187,-20.56721,-47.40771,,,,,,Concessionárias,SP,-20.567419,-47.4078469,0.3
,,,"Rua Hassib Mofarrej, 382, Vila Leopoldina, São Paulo - SP, 05312-000, Brasil",São Paulo,,SP,,05312-000,-23.52948,-46.7371,,,,,,Concessionárias,SP,-23.5292023,-46.7370931,0.3
,,,"Inova Móveis, Avenida Fernando Machado, 1029D, Centro, Chapecó - SC, 89802-112, Brasil",Chapecó,,SC,,89802-112,-27.0961,-52.61897,,,,,,Concessionárias,Demais Praças,-27.0961532,-52.61904879999999,0.3
,,,"BMW, Rua Rubens Sebastião Marin, 1626, Zona 36, Maringá - PR, 87045-020, Brasil",Maringá,,PR,,87045-020,-23.4243,-51.89921,,,,,,Concessionárias,Demais Praças,-23.4241867,-51.8992589,0.3
,,,"Sicredi, Avenida Ferreira Viana, 1526, Areal, Pelotas - RS, 96085-000, Brasil",Pelotas,,RS,,96085-000,-31.76142,-52.31866,,,,,,Concessionárias,Demais Praças,-31.7612748,-52.31851640000001,0.3
,,,"Rua Serra de Bragança, 606, Tatuapé, São Paulo - SP, 03318-000, Brasil",São Paulo,,SP,,03318-000,-23.54534,-46.56937,,,,,,Concessionárias,SP,-23.545266,-46.569399,0.3
,,,"Avenida Senador Tarso Dutra, 295, Petrópolis, Porto Alegre - RS, 90690-140, Brasil",Porto Alegre,,RS,,90690-140,-30.04137,-51.1736,,,,,,Concessionárias,Demais Praças,-30.0413102,-51.1736866,0.3
,,,"Rua Itapeti, 421, Tatuapé, São Paulo - SP, 03324-002, Brasil",São Paulo,,SP,,03324-002,-23.5509,-46.5673,,,,,,Concessionárias,SP,-23.5508612,-46.5674626,0.3
,,,"Ponto De Carregamento Para Veículos Elétricos, Rua Visconde de Cairú, 176, Estreito, Florianópolis - SC, 88075-020, Brasil",Florianópolis,,SC,,88075-020,-27.59511,-48.57277,,,,,,Concessionárias,Demais Praças,-27.595083,-48.5727371,0.3
,,,"Rua Buarque de Macedo, 209, Jardim Brasil, Campinas - SP, 13073-010, Brasil",Campinas,,SP,,13073-010,-22.88649,-47.06244,,,,,,Concessionárias,SP,-22.8861922,-47.0623702,0.3
,,,"Ponto De Carregamento Para Veículos Elétricos, Avenida Raja Gabaglia, 3055, São Bento, Belo Horizonte - MG, 30350-550, Brasil",Belo Horizonte,,MG,,30350-550,-19.96081,-43.95713,,,,,,Concessionárias,Demais Praças,-19.9607377,-43.9571141,0.3
,,,"Rua Dom Silvério, 65, Alto dos Passos, Juiz de Fora - MG, 36026-450, Brasil",Juiz de Fora,,MG,,36026-450,-21.77795,-43.34624,,,,,,Concessionárias,Demais Praças,-21.7779239,-43.3461209,0.3
,,,"In Pilates Barigui, Santo Inácio, Curitiba - PR, 82305-100, Brasil",Curitiba,,PR,,82305-100,-25.43029,-49.32323,,,,,,Concessionárias,Demais Praças,-25.4302851,-49.3234191,0.3
,,,"BMW, Rua Botuverá, 508, São Marcos, Joinville - SC, Brasil",Joinville,,SC,,,-26.32385,-48.86838,,,,,,Concessionárias,Demais Praças,-26.3239067,-48.868371,0.3
,,,"BYD, Rua Ignácio Treis, 495, Ideal, Novo Hamburgo - RS, 93334-365, Brasil",Novo Hamburgo,,RS,,93334-365,-29.71042,-51.14681,,,,,,Concessionárias,Demais Praças,-29.7104262,-51.14661479999999,0.3
,,,"Avenida Vinte e Três de Maio, 3095, Moema, São Paulo - SP, 04008-090, Brasil",São Paulo,,SP,,04008-090,-23.58265,-46.65136,,,,,,Concessionárias,SP,-23.5827086,-46.6512483,0.3
,,,"Alameda Amazonas, 838, Alphaville, Barueri - SP, 06454-070, Brasil",Barueri,,SP,,06454-070,-23.49258,-46.84274,,,,,,Concessionárias,SP,-23.4925521,-46.8426524,0.3
,,,"Avenida Doutor Carlos Barbosa, 1272, Medianeira, Porto Alegre - RS, 90880-001, Brasil",Porto Alegre,,RS,,90880-001,-30.06698,-51.21247,,,,,,Concessionárias,Demais Praças,-30.0669795,-51.2123826,0.3
,,,"Rua Minerva, 535, Perdizes, São Paulo - SP, 05007-032, Brasil",São Paulo,,SP,,05007-032,-23.53641,-46.67468,,,,,,Concessionárias,SP,-23.536457,-46.674658,0.3
,,,"BR-153, Autódromo, Goiânia - GO, Brasil",Goiânia,,GO,,,-16.69817,-49.23139,,,,,,Concessionárias,Demais Praças,-16.6981713,-49.2313845,0.3
