Latitude,Longitude,Radius Distance,Estado,POI
-23.4230325,-51.91144449999999,0.3,Demais Praças,Concessionárias
-30.0027486,-51.19134469999999,0.3,Demais Praças,Concessionárias
-22.9279453,-43.0640335,0.3,Demais Praças,Concessionárias
-23.0056202,-43.4378306,0.3,Demais Praças,Concessionárias
-26.9593324,-48.6390049,0.3,Demais Praças,Concessionárias
-26.914982,-49.0571115,0.3,Demais Praças,Concessionárias
-27.091936,-52.6181181,0.3,Demais Praças,Concessionárias
-27.5961912,-48.6020291,0.3,Demais Praças,Concessionárias
-23.5071007,-46.8481009,0.3,SP,Concessionárias
-21.2106804,-47.8024877,0.3,SP,Concessionárias
-20.8126218,-49.3767619,0.3,SP,Concessionárias
-23.5705417,-46.7005324,0.3,SP,Concessionárias
-23.617174,-46.7029161,0.3,SP,Concessionárias
-23.5601445,-46.56713389999999,0.3,SP,Concessionárias
-23.5310426,-46.7380272,0.3,SP,Concessionárias
-23.6108454,-46.6548885,0.3,SP,Concessionárias
-23.5312434,-46.6613341,0.3,SP,Concessionárias
-23.5712877,-46.6736745,0.3,SP,Concessionárias
-22.8758006,-47.0472389,0.3,SP,Concessionárias
-23.5017019,-47.4798371,0.3,SP,Concessionárias
-23.2017656,-45.908714,0.3,SP,Concessionárias
-23.5496587,-46.66792539999999,0.3,SP,Concessionárias
-23.5025656,-46.538379,0.3,SP,Concessionárias
-23.5526588,-46.7032308,0.3,SP,Concessionárias
-23.5932344,-46.6771556,0.3,SP,Concessionárias
-23.5641718,-46.6723015,0.3,SP,Concessionárias
-23.485281,-46.825665,0.3,SP,Concessionárias
-23.5705479,-46.6575354,0.3,SP,Concessionárias
-23.5857248,-46.6824158,0.3,SP,Concessionárias
-22.9484628,-43.3698459,0.3,Demais Praças,Concessionárias
-29.9885256,-51.1402652,0.3,Demais Praças,Concessionárias
-25.4078824,-49.3092264,0.3,Demais Praças,Concessionárias
-19.599168,-43.913171,0.3,Demais Praças,Concessionárias
-15.7061286,-47.9960511,0.3,Demais Praças,Concessionárias
-14.235004,-51.92528,0.3,Demais Praças,Concessionárias
-22.8235526,-46.6898516,0.3,SP,Concessionárias
-23.276999,-51.100126,0.3,Demais Praças,Concessionárias
-16.6980763,-49.2515557,0.3,Demais Praças,Concessionárias
-22.781439,-45.662843,0.3,SP,Resorts
-23.597423,-46.700852,0.3,SP,Resorts
-23.563694,-46.656080,0.3,SP,Resorts
-22.771366,-45.599871,0.3,SP,Resorts
-22.433902,-44.519794,0.3,Demais Praças,Resorts
