severidade;linha;nome;endereco_dsp;risco
ALTO;2620;;Avenida Gen Euclides de O Figueiredo Itaguai RJ 23826600 Brazil;sem numero de porta
ALTO;2621;;Mistura Classica Verolme Angra dos Reis RJ Brazil;sem numero de porta
ALTO;2622;;Rua Gleba D Portogalo Angra dos Reis RJ 23917010 Brazil;sem numero de porta
ALTO;2623;;Sorvete Italia Urca Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;2625;;Rodovia Governador Mario Covas Mangaratiba RJ 23860000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2626;;BR Marinas Verolme Angra dos Reis RJ Brazil;sem numero de porta
ALTO;2627;;Estrada Municipal Praia da Chacara Angra dos Reis RJ 23906175 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;2629;;Rua Niteroi Tibery Uberlandia MG 38405178 Brazil;sem numero de porta
ALTO;2631;;Alameda Antonio Elias de Deus Aparecida de Goiania GO 74988820 Brazil;sem numero de porta
ALTO;2633;;Bandanna Digital Jardim Goias Goiania GO 74810030 Brazil;sem numero de porta
ALTO;2634;;Rua E M Um Vila Sul Aparecida de Goiania GO Brazil;sem numero de porta
ALTO;2635;;Avenida Portugal Marista Goiania GO 74150030 Brazil;sem numero de porta
ALTO;2636;;Espaco Agir Academia Crer Crimeia Leste Goiania GO Brazil;sem numero de porta
ALTO;2637;;Rua Nove 36 1 Vila Regina Goiania GO 74463550 Brazil;sem numero de porta
ALTO;2638;;Alameda das Sibipirunas 27 6 Ceasa Goiania GO 74680510 Brazil;sem numero de porta
ALTO;2639;;Rua Mil Cento e Quarenta e Dois 257 12 Marista Goiania GO 74180190 Brazil;sem numero de porta
ALTO;2641;;BR 060 Indiara GO 75955000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2642;;Avenida Gov Ludovico de Almeida Santo Hilario Goiania GO Brazil;sem numero de porta
ALTO;2643;;Conjunto Residencial Santa Fe Aparecida de Goiania GO 74350785 Brazil;sem numero de porta
ALTO;2644;;Avenida Nacional Polo Empresarial Goias Aparecida de Goiania GO 74983180 Brazil;sem numero de porta
ALTO;2645;;Palacio Pedro Ludovico Teixeira Praca Dr Pedro Ludovico Teixeira Central Goiania GO 74083010 Brazil;sem numero de porta
ALTO;2647;;Usina Colombo Santa Albertina SP Santa Albertina SP 15750000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2649;;GO 010 Leopoldo de Bulhoes GO 75190000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2651;;Avenida Tocantins Jardim Rio Grande Aparecida de Goiania GO 74982540 Brazil;sem numero de porta
ALTO;2652;;Avenida Deputado Jamel Cecilio Autodromo Goiania GO 74820050 Brazil;sem numero de porta
