linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
66;;;endereco;Rua Santa Joaquina de Vedruna, 506, Zona 5, Maringá - PR, 87015-150, Brasil;Rua Santa Joaquina de Vedruna 506 Maringa PR 87015150 Brazil;Maringá;PR;87015150;-23.42388;-51.95483;-23.42388;-51.95483;Zona 5;;
67;;;endereco;BMW, Avenida das Américas, 1690, Barra da Tijuca, Rio de Janeiro - RJ, 22640-101, Brasil;Avenida das Americas 1690 Rio de Janeiro RJ 22640101 Brazil;Rio de Janeiro;RJ;22640101;-23.00017;-43.33165;-23.00017;-43.33165;Barra da Tijuca;;
68;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Avenida João Naves de Ávila, 3370, Saraiva, Uberlândia - MG, 38408-144, Brasil;Avenida Joao Naves de Avila 3370 Uberlandia MG 38408144 Brazil;Uberlândia;MG;38408144;-18.92654;-48.25911;-18.92654;-48.25911;Saraiva;;
69;;;endereco;Rua Nicolau Cheuen, 3993, Centro, São João de Meriti - RJ, 25510-310, Brasil;Rua Nicolau Cheuen 3993 Sao Joao de Meriti RJ 25510310 Brazil;São João de Meriti;RJ;25510310;-22.79326;-43.36668;-22.79326;-43.36668;Centro;;
70;;;endereco;Composit Filmes, Avenida José Correia Machado, Jardim Parque Morada do Sol, Montes Claros - MG, 39400-116, Brasil;Avenida Jose Correia Machado Jardim Parque Morada do Sol Montes Claros MG 39400116 Brazil;Montes Claros;MG;39400116;-16.72587;-43.88053;-16.72587;-43.88053;;ALTO;sem numero de porta
71;;;endereco;Rua José Justino de Azevedo, 1105, Conservatória, Valença - RJ, 27600-000, Brasil;Rua Jose Justino de Azevedo 1105 Valenca RJ 27600000 Brazil;Valença;RJ;27600000;-22.28724;-43.91497;-22.28724;-43.91497;Conservatória;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
72;;;endereco;Rua Mena Barreto, 161, Botafogo, Rio de Janeiro - RJ, 22271-100, Brasil;Rua Mena Barreto 161 Rio de Janeiro RJ 22271100 Brazil;Rio de Janeiro;RJ;22271100;-22.95646;-43.1911;-22.95646;-43.1911;Botafogo;;
73;;;endereco;Alameda Santos, 880, Jardim Paulista, São Paulo - SP, 01418-002, Brasil;Alameda Santos 880 Sao Paulo SP 01418002 Brazil;São Paulo;SP;01418002;-23.56682;-46.6519;-23.56682;-46.6519;Jardim Paulista;;
74;;;endereco;BMW, Avenida Engenheiro Carlos Reinaldo Mendes, 1600, Sorocaba - SP, 18103-000, Brasil;Avenida Engenheiro Carlos Reinaldo Mendes 1600 Sorocaba SP 18103000 Brazil;Sorocaba;SP;18103000;-23.47237;-47.42362;-23.47237;-47.42362;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
75;;;endereco;Rua Adão Dionísio Neugebauer Bortowiski, Centro, Eldorado do Sul - RS, 92990-000, Brasil;Rua Adao Dionisio Neugebauer Bortowiski Centro Eldorado do Sul RS 92990000 Brazil;Eldorado do Sul;RS;92990000;-30.00099;-51.30812;-30.00099;-51.30812;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
76;;;endereco;BR-470, Salto do Norte, Blumenau - SC, Brasil;BR 470 Salto do Norte Blumenau SC Brazil;Blumenau;SC;;-26.86758;-49.10311;-26.86758;-49.10311;;ALTO;sem numero de porta
77;;;endereco;Avenida Barão Homem de Melo, 3382, Estoril, Belo Horizonte - MG, 30494-270, Brasil;Avenida Barao Homem de Melo 3382 Belo Horizonte MG 30494270 Brazil;Belo Horizonte;MG;30494270;-19.96529;-43.9613;-19.96529;-43.9613;Estoril;;
78;;;endereco;Avenida Benno Mentz, 115, Vila Ipiranga, Porto Alegre - RS, 91370-010, Brasil;Avenida Benno Mentz 115 Porto Alegre RS 91370010 Brazil;Porto Alegre;RS;91370010;-30.01166;-51.14787;-30.01166;-51.14787;Vila Ipiranga;;
79;;;endereco;Sia Trecho 2, 2010, SIA - DF, 71200-023, Brasil;Sia Trecho 2 SIA DF 71200023 Brazil;SIA;DF;71200023;-15.804;-47.97002;-15.804;-47.97002;2010;;
80;;;endereco;Rua Henrique Boiteux, 558, Estreito, Florianópolis - SC, 88075-060, Brasil;Rua Henrique Boiteux 558 Florianopolis SC 88075060 Brazil;Florianópolis;SC;88075060;-27.59206;-48.57435;-27.59206;-48.57435;Estreito;;
81;;;endereco;Avenida Brasil Oeste, 3880, Boqueirão, Passo Fundo - RS, 99025-000, Brasil;Avenida Brasil Oeste 3880 Passo Fundo RS 99025000 Brazil;Passo Fundo;RS;99025000;-28.2696;-52.44037;-28.2696;-52.44037;Boqueirão;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
