linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
62;;;endereco;Rua Conde de Bonfim, 470, Tijuca, Rio de Janeiro - RJ, 20520-054, Brasil;Rua Conde de Bonfim 470 Rio de Janeiro RJ 20520054 Brazil;Rio de Janeiro;RJ;20520054;-22.92655;-43.23557;-22.92655;-43.23557;Tijuca;;
63;;;endereco (numero de coluna propria);Metrô Rio - Saens Peña, Rua General Roca, Tijuca, Rio de Janeiro - RJ, 20521-070, Brasil;Rua General Roca 661 Rio de Janeiro RJ 20521070 Brazil;Rio de Janeiro;RJ;20521070;-22.9253;-43.23282;-22.9253;-43.23282;Tijuca;;
64;;;endereco (numero de coluna propria);Rua Visconde de Pirajá, 411, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil;Rua Visconde de Piraja 414 Rio de Janeiro RJ 22410003 Brazil;Rio de Janeiro;RJ;22410003;-22.98424;-43.20754;-22.98424;-43.20754;411 Ipanema;;
65;;;endereco (numero de coluna propria);Avenida Niemeyer, 15, Leblon, Rio de Janeiro - RJ, 22450-220, Brasil;Avenida Niemeyer 15 Rio de Janeiro RJ 22450220 Brazil;Rio de Janeiro;RJ;22450220;-22.98853;-43.2285;-22.98853;-43.2285;Leblon;;
66;;;endereco (numero de coluna propria);Rua Gilberto Cardoso, 266, Leblon, Rio de Janeiro - RJ, 22430-070, Brasil;Rua Gilberto Cardoso 266 Rio de Janeiro RJ 22430070 Brazil;Rio de Janeiro;RJ;22430070;-22.97953;-43.22023;-22.97953;-43.22023;Leblon;;
67;;;endereco (numero de coluna propria);Cobal Leblon, Rua Juquiá, Leblon, Rio de Janeiro - RJ, 22441-080, Brasil;Rua Juquia L O AO N Leblon Rio de Janeiro RJ 22441080 Brazil;Rio de Janeiro;RJ;22441080;-22.98021;-43.22243;-22.98021;-43.22243;;ALTO;sem numero de porta
68;;;endereco (numero de coluna propria);Avenida Princesa Isabel, 245, Copacabana, Rio de Janeiro - RJ, 22011-011, Brasil;Avenida Princesa Isabel 245 Rio de Janeiro RJ 22011011 Brazil;Rio de Janeiro;RJ;22011011;-22.96294;-43.17488;-22.96294;-43.17488;Copacabana;;
69;;;endereco (numero de coluna propria);Rua Marechal Mascarenhas de Morais, 92, Copacabana, Rio de Janeiro - RJ, 22030-040, Brasil;Rua Marechal Mascarenhas de Morais 236 Rio de Janeiro RJ 22030040 Brazil;Rio de Janeiro;RJ;22030040;-22.96573;-43.18168;-22.96573;-43.18168;92 Copacabana;;
70;;;endereco (numero de coluna propria);Rua Barata Ribeiro, 638, Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil;Rua Barata Ribeiro 636 Rio de Janeiro RJ 22051001 Brazil;Rio de Janeiro;RJ;22051001;-22.97263;-43.19069;-22.97263;-43.19069;638 Copacabana;;
71;;;endereco;Rua Barata Ribeiro, 717, Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil;Rua Barata Ribeiro 717 Rio de Janeiro RJ 22051001 Brazil;Rio de Janeiro;RJ;22051001;-22.97483;-43.19163;-22.97483;-43.19163;Copacabana;;
72;;;endereco;Rua Barata Ribeiro, 752, Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil;Rua Barata Ribeiro 752 Rio de Janeiro RJ 22051001 Brazil;Rio de Janeiro;RJ;22051001;-22.97553;-43.19237;-22.97553;-43.19237;Copacabana;;
73;;;endereco;Avenida Nossa Senhora de Copacabana, 1334, Copacabana, Rio de Janeiro - RJ, 22070-011, Brasil;Avenida Nossa Senhora de Copacabana 1334 Rio de Janeiro RJ 22070011 Brazil;Rio de Janeiro;RJ;22070011;-22.98426;-43.19064;-22.98426;-43.19064;Copacabana;;
74;;;endereco (numero de coluna propria);People 9 Comunicação, Avenida Nossa Senhora de Copacabana, 122, Copacabana, Rio de Janeiro - RJ, 22020-002, Brasil;Avenida Nossa Senhora de Copacabana 120 Rio de Janeiro RJ 22020002 Brazil;Rio de Janeiro;RJ;22020002;-22.96436;-43.17541;-22.96436;-43.17541;122 Copacabana;;
75;;;endereco (numero de coluna propria);Rua Muniz Barreto, 701, Botafogo, Rio de Janeiro - RJ, 22251-090, Brasil;Rua Muniz Barreto 701 Rio de Janeiro RJ 22251090 Brazil;Rio de Janeiro;RJ;22251090;-22.94795;-43.18421;-22.94795;-43.18421;Botafogo;;
76;;;endereco (numero de coluna propria);Rua São Clemente, 67, Botafogo, Rio de Janeiro - RJ, 22260-001, Brasil;Rua Sao Clemente 67 Rio de Janeiro RJ 22260001 Brazil;Rio de Janeiro;RJ;22260001;-22.94932;-43.18424;-22.94932;-43.18424;Botafogo;;
77;;;endereco (numero de coluna propria);Rua Marquês de Abrantes, 91, Flamengo, Rio de Janeiro - RJ, 22230-061, Brasil;Rua Marques de Abrantes 91 Rio de Janeiro RJ 22230061 Brazil;Rio de Janeiro;RJ;22230061;-22.93636;-43.17718;-22.93636;-43.17718;Flamengo;;
78;;;endereco (numero de coluna propria);Rua Pinheiro Guimarães, 10, Botafogo, Rio de Janeiro - RJ, 22281-080, Brasil;Rua Pinheiro Guimaraes 8a Rio de Janeiro RJ 22281080 Brazil;Rio de Janeiro;RJ;22281080;-22.95797;-43.19175;-22.95797;-43.19175;10 Botafogo;;
79;;;endereco (numero de coluna propria);Gastronomia, Rua Governador Irineu Bornhausen, Flamengo, Rio de Janeiro - RJ, Brasil;Rua Governador Irineu Bornhausen Flamengo Rio de Janeiro RJ Brazil;Rio de Janeiro;RJ;;-22.93037;-43.17745;-22.93037;-43.17745;;ALTO;sem numero de porta
80;;;endereco (numero de coluna propria);Galvão Lombardi da Silveira Psicologia Especializada, Rua Voluntários da Pátria, 450, Humaitá, Rio de Janeiro - RJ, 22271-042, Brasil;Rua Voluntarios da Patria 450 Rio de Janeiro RJ 22271042 Brazil;Rio de Janeiro;RJ;22271042;-22.95583;-43.19666;-22.95583;-43.19666;Humaitá;;
81;;;endereco;Rua General Roca, 815, Tijuca, Rio de Janeiro - RJ, 20521-070, Brasil;Rua General Roca 815 Rio de Janeiro RJ 20521070 Brazil;Rio de Janeiro;RJ;20521070;-22.92448;-43.23405;-22.92448;-43.23405;Tijuca;;
82;;;endereco (numero de coluna propria);Rua Voluntários da Pátria, 24, Botafogo, Rio de Janeiro - RJ, 22270-000, Brasil;Rua Voluntarios da Patria 20 Rio de Janeiro RJ 22270000 Brazil;Rio de Janeiro;RJ;22270000;-22.95061;-43.18252;-22.95061;-43.18252;24 Botafogo;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
83;;;endereco (numero de coluna propria);Rua Araújo Porto Alegre, Centro, Rio de Janeiro - RJ, 20030-015, Brasil;Rua Araujo Porto Alegre Centro Rio de Janeiro RJ 20030015 Brazil;Rio de Janeiro;RJ;20030015;-22.90852;-43.17356;-22.90852;-43.17356;;ALTO;sem numero de porta
84;;;endereco;Rua Uruguaiana, 55, Centro, Rio de Janeiro - RJ, 20050-094, Brasil;Rua Uruguaiana 55 Rio de Janeiro RJ 20050094 Brazil;Rio de Janeiro;RJ;20050094;-22.90441;-43.18005;-22.90441;-43.18005;Centro;;
85;;;endereco (numero de coluna propria);Casa Villarino, Avenida Calógeras, 6, Centro, Rio de Janeiro - RJ, 20030-070, Brasil;Avenida Calogeras 164 Rio de Janeiro RJ 20030070 Brazil;Rio de Janeiro;RJ;20030070;-22.91125;-43.17297;-22.91125;-43.17297;6 Centro;;
86;;;endereco;Avenida Rio Branco, 18, Centro, Rio de Janeiro - RJ, 20090-000, Brasil;Avenida Rio Branco 18 Rio de Janeiro RJ 20090000 Brazil;Rio de Janeiro;RJ;20090000;-22.89852;-43.18033;-22.89852;-43.18033;Centro;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
87;;;endereco (numero de coluna propria);Avenida República do Paraguai, 520D, Centro, Rio de Janeiro - RJ, 20031-180, Brasil;Avenida Republica do Paraguai 520D Rio de Janeiro RJ 20031180 Brazil;Rio de Janeiro;RJ;20031180;-22.90975;-43.17995;-22.90975;-43.17995;Centro;;
88;;;endereco (numero de coluna propria);Avenida Presidente Antônio Carlos, Centro, Rio de Janeiro - RJ, 20020-010, Brasil;Avenida Presidente Antonio Carlos Centro Rio de Janeiro RJ 20020010 Brazil;Rio de Janeiro;RJ;20020010;-22.90454;-43.17434;-22.90454;-43.17434;;ALTO;sem numero de porta
