name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,Nº,Praça,Formato,Veículo,Endereço,Latitude,Longitude
,,,"Avenida Rio Branco, 115, Centro, Rio de Janeiro - RJ, 20040-004, Brasil",Rio de Janeiro,,RJ,,20040-004,-22.90339,-43.17802,,,,,,115,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Rio Branco,-22.9034,-43.1781
,,,"Rua Visconde de Maranguape, 51, Lapa, Rio de Janeiro - RJ, 20021-390, Brasil",Rio de Janeiro,,RJ,,20021-390,-22.9143,-43.17842,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Largo Nelson Gonçalves,-22.9142,-43.1784
,,,"Rua Teodoro da Silva, Andaraí, Rio de Janeiro - RJ, 20560-005, Brasil",Rio de Janeiro,,RJ,,20560-005,-22.91858,-43.2506,,,,,,630,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Teodoro Da Silva,-22.9186,-43.2506
,,,"Avenida Delfim Moreira, Leblon, Rio de Janeiro - RJ, 22441-000, Brasil",Rio de Janeiro,,RJ,,22441-000,-22.9865,-43.21757,,,,,,180,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Delfim Moreira,-22.98646,-43.21757
,,,"Avenida Epitácio Pessoa, Lagoa, Rio de Janeiro - RJ, 22471-003, Brasil",Rio de Janeiro,,RJ,,22471-003,-22.97371,-43.2017,,,,,,1013,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Epitácio Pessoa,-22.97367,-43.20166
,,,"Avenida Presidente Vargas, Centro, Rio de Janeiro - RJ, 20071-003, Brasil",Rio de Janeiro,,RJ,,20071-003,-22.90131,-43.1795,,,,,,482,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Presidente Vargas,-22.90138,-43.17947
,,,"Autosdj, Avenida Presidente Wilson, Centro, Rio de Janeiro - RJ, 20030-021, Brasil",Rio de Janeiro,,RJ,,20030-021,-22.91017,-43.17199,,,,,,1509,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Presidente Wilson,-22.91014,-43.17228
,,,"Praça Demétrio Ribeiro, 15, Copacabana, Rio de Janeiro - RJ, 22011-020, Brasil",Rio de Janeiro,,RJ,,22011-020,-22.96194,-43.17574,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Princesa Isabel,-22.9619,-43.17566
,,,"Avenida Vieira Souto, 530, Ipanema, Rio de Janeiro - RJ, 22420-008, Brasil",Rio de Janeiro,,RJ,,22420-008,-22.98598,-43.2095,,,,,,530,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Vieira Souto,-22.98612,-43.209467
,,,"Avenida Vieira Souto, Ipanema, Rio de Janeiro - RJ, 22420-002, Brasil",Rio de Janeiro,,RJ,,22420-002,-22.98659,-43.20298,,,,,,318,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Vieira Souto,-22.98663,-43.20296
