linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
31;CARRERA ACELERA GUARATINGUETA;;reenviado (ja aprovado pela DSP);12505-300 Avenida Juscelino Kubitschek de Oliveira 1138 Campo do Galvão SP Guaratinguetá;Avenida Juscelino Kubitschek de Oliveira 1138 Campo do Galvao Guaratingueta SP 12505300 Brazil;Guaratinguetá;SP;12505300;-2.281.592;-4.520.229;-22.81592;-45.20229;;;
32;CARRERA ACELERA LAPA;;endereco;05037-170 Avenida Comendador Martinelli 1506 Água Branca SP São Paulo;Avenida Comendador Martinelli 1506 Sao Paulo SP 05037170 Brazil;São Paulo;SP;05037170;-235.100.292;-466.899.484;-23.510029;-46.689948;Água Branca;;
33;CARRERA ACELERA MORUMBI;;reenviado (ja aprovado pela DSP);05724-001 Av. Giovanni Gronchi 3707 VILA ANDRADE SP São Paulo;Av Giovanni Gronchi 3707 VILA ANDRADE Sao Paulo SP 05724001 Brazil;São Paulo;SP;05724001;-236.126.684;-467.287.675;-23.612668;-46.728767;;;
34;CARRERA ACELERA PINDAMONHANGABA;;reenviado (ja aprovado pela DSP);12421-681 Rua Alcides Ramos Nogueira 650 Nossa Senhora do Perpétuo Socorro SP Pindamonhangaba;Rua Alcides Ramos Nogueira 650 Nossa Senhora do Perpetuo Socorro Pindamonhangaba SP 12421681 Brazil;Pindamonhangaba;SP;12421681;-229.465.315;-454.803.094;-22.946531;-45.480309;;;
35;CARRERA ACELERA SÃO CARLOS;;reenviado (ja aprovado pela DSP);13564-002 Avenida Francisco Pereira Lopes 1800 Parque Arnold Schimidt SP São Carlos;Avenida Francisco Pereira Lopes 1800 Parque Arnold Schimidt Sao Carlos SP 13564002 Brazil;São Carlos;SP;13564002;-220.061.725;-479.026.094;-22.006173;-47.902609;;;
36;CARRERA ACELERA SÃO JOSÉ DOS CAMPOS;;reenviado (ja aprovado pela DSP);12246-840 Avenida Deputado Benedito Matarazzo 5051 Parque Residencial Aquarius SP São José dos Campos;Avenida Deputado Benedito Matarazzo 5051 Parque Residencial Aquarius Sao Jose dos Campos SP 12246840 Brazil;São José dos Campos;SP;12246840;-232.231.746;-4.590.435.069.999.990;-23.223175;-45.904351;;;
37;CARRERA ACELERA TAUBATE;;reenviado (ja aprovado pela DSP);12041-078 Av. Charles Schnneider 1861 BARRANCO SP Taubaté;Av Charles Schnneider 1861 BARRANCO Taubate SP 12041078 Brazil;Taubaté;SP;12041078;-230.249.016;-455.840.715;-23.024902;-45.584072;;;
38;CARRERA ACELERA VILA OLIMPIA;;reenviado (ja aprovado pela DSP);04550-002 Avenida Bandeirantes 1585 VILA OLÍMPIA SP São Paulo;Avenida Bandeirantes 1585 VILA OLIMPIA Sao Paulo SP 04550002 Brazil;São Paulo;SP;04550002;-236.041.579;-466.793.797;-23.604158;-46.67938;;;
39;CARRERA ACELERA VOTUPORANGA;;endereco;15500-051 Avenida Brasil 5043 São Judas Tadeu SP Votuporanga;Avenida Brasil 5043 Votuporanga SP 15500051 Brazil;Votuporanga;SP;15500051;-204.086.762;-499.767.824;-20.408676;-49.976782;São Judas Tadeu;;
40;CICAL RIBEIRAO PRETO;;reenviado (ja aprovado pela DSP);14026-600 Avenida Doutor José Cezário Monteiro da Silva Filho 270 Nova Aliança SP Ribeirão Preto;Avenida Doutor Jose Cezario Monteiro da Silva Filho 270 Nova Alianca Ribeirao Preto SP 14026600 Brazil;Ribeirão Preto;SP;14026600;-21.217.415;-4.781.783;-21.217415;-47.81783;;;
41;CICAL UBERLANDIA;;reenviado (ja aprovado pela DSP);38400-658 Rua Rio de Janeiro 359 BRASIL MG Uberlândia;Rua Rio de Janeiro 359 BRASIL Uberlandia MG 38400658 Brazil;Uberlândia;MG;38400658;-188.964.959;-482.605.863;-18.896496;-48.260586;;;
42;COMERI GUARUJA;;reenviado (ja aprovado pela DSP);11430-001 Av. Adhemar de Barros 1007 VILA SANTO ANTONIO SP Guarujá;Av Adhemar de Barros 1007 VILA SANTO ANTONIO Guaruja SP 11430001 Brazil;Guarujá;SP;11430001;-239.917.159;-462.695.586;-23.991716;-46.269559;;;
43;COMERI PRAIA GRANDE;;reenviado (ja aprovado pela DSP);11702-480 Av. Presidente Kennedy 2980 Aviacao SP Praia Grande;Av Presidente Kennedy 2980 Aviacao Praia Grande SP 11702480 Brazil;Praia Grande;SP;11702480;-240.100.102;-464.382.916;-24.01001;-46.438292;;;
44;COMERI SANTOS;;reenviado (ja aprovado pela DSP);11015-201 Avenida Washington Luis 105 Vila Matias SP Santos;Avenida Washington Luis 105 Vila Matias Santos SP 11015201 Brazil;Santos;SP;11015201;-239.462.835;-463.343.711;-23.946283;-46.334371;;;
45;DAHRUJ AMERICANA;;reenviado (ja aprovado pela DSP);13478-540 Avenida Nossa Senhora de Fátima 1041 Vila Israel SP Americana;Avenida Nossa Senhora de Fatima 1041 Vila Israel Americana SP 13478540 Brazil;Americana;SP;13478540;-227.356.177;-473.158.226;-22.735618;-47.315823;;;
46;DAHRUJ BRAZ LEME;;reenviado (ja aprovado pela DSP);02511-000 Avenida Braz Leme 410 Casa Verde SP São Paulo;Avenida Braz Leme 410 Casa Verde Sao Paulo SP 02511000 Brazil;São Paulo;SP;02511000;-235.112.752;-466.527.888;-23.511275;-46.652789;;;
