linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
1411;CASA DA RAFINHA;;endereco;R. JEQUITIBÁ, 1964, QUEDAS DO IGUAÇU - PR, 85460-000;Rua JEQUITIBA 1964 Quedas do Iguacu PR 85460000 Brazil;Quedas do Iguaçu;PR;85460000;-25.4499814;-52.9034888;-25.449981;-52.903489;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1412;Cinema Alfredo Backer;;endereco;R. Dr. Alfredo Backer, 269 - Mutondo, São Gonçalo - RJ, 24452-001, Brazil;Rua Dr Alfredo Backer 269 Sao Goncalo RJ 24452001 Brazil;São Gonçalo;RJ;24452001;-22.8182381;-43.0134467;-22.818238;-43.013447;- Mutondo;;
1413;HOUSE JABUTICABA MOVIE THEATER;;endereco;R. MAESTRO CARDIM, 1251 - 83 - BELA VISTA, SÃO PAULO - SP, 01323-000;Rua MAESTRO CARDIM 1251 Sao Paulo SP 01323000 Brazil;São Paulo;SP;01323000;-23.5720077;-46.6418275;-23.572008;-46.641827;- 83 - BELA VISTA;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1414;CINE VÍDEO STAR LTDA;;endereco;R. FLORIANO PEIXOTO, 1055 - CENTRO, FORTALEZA - CE, 60025-130;Rua FLORIANO PEIXOTO 1055 Fortaleza CE 60025130 Brazil;Fortaleza;CE;60025130;-3.7316636;-38.5284579;-3.731664;-38.528458;- CENTRO;;
1415;CINE A CONTINENTAL;;endereco;AV. LEÃO MACHADO, 100 - LOJA 553 ANDAR 3 - PARQUE CONTINENTAL, SÃO PAULO - SP, 05328-020;Avenida LEAO MACHADO 100 Sao Paulo SP 05328020 Brazil;São Paulo;SP;05328020;-23.5474428;-46.7570686;-23.547443;-46.757069;- - PARQUE CONTINENTAL;;
1416;CINE HOS;;endereco;AV. ADEMAR DE BARROS, 276 - CENTRO, ADAMANTINA - SP, 17800-000;Avenida ADEMAR DE BARROS 276 Adamantina SP 17800000 Brazil;Adamantina;SP;17800000;-21.6887741;-51.0730702;-21.688774;-51.07307;- CENTRO;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1417;CINE MANIA ️;;endereco;RUA CAMPINAS, 951 - JARDIM BELA VISTA, COSMÓPOLIS - SP, 13150-000;RUA CAMPINAS 951 Cosmopolis SP 13150000 Brazil;Cosmópolis;SP;13150000;-22.6473655;-47.1898069;-22.647365;-47.189807;- JARDIM BELA VISTA;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1418;CINETEATRO MUNICIPAL;;endereco;R. FREI DURÃO, 22 - MARIANA, MG, 35420-000;Rua FREI DURAO 22 Mariana MG 35420000 Brazil;Mariana;MG;35420000;-20.3790786;-43.4164071;-20.379079;-43.416407;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1419;LIVE HOME - AUTOMAÇÃO, PISO AQUECIDO, HOME CINEMA, SOM AMBIENTE, TELAS E PROJEÇÃO;;endereco;R. ERNESTO ALVES, 2571 - CENTRO, FLORES DA CUNHA - RS, 95270-000;Rua ERNESTO ALVES 2571 Flores da Cunha RS 95270000 Brazil;Flores da Cunha;RS;95270000;-29.0282526;-51.1844392;-29.028253;-51.184439;- CENTRO;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1420;PREÁ CINE;;endereco;AV. CENTRAL, 28 - CAIÇARA, CRUZ - CE, 62595-000;Avenida CENTRAL 28 Cruz CE 62595000 Brazil;Cruz;CE;62595000;-2.8220196;-40.4139234;-2.82202;-40.413923;- CAIÇARA;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
