severidade;linha;nome;endereco_dsp;risco
ALTO;2502;Câmera 1 Filmes;Rua Professor Nascimento de Moraes n680 Sao Francisco Sao Luis MA 65076320 Brazil;sem numero de porta
ALTO;2507;Square Two-Sided Film;Residencial Vila Paraiso Conjunto Hab Caxias MA Brazil;sem numero de porta
ALTO;2509;PORTRAIT FILMES | FÁBIO PORTRAIT;SANTA MONICA Uberlandia MG 38400000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2510;Cineart João César;Centro Contagem MG Brazil;"sem numero de porta; logradouro sem nome"
ALTO;2511;Cine Ritz;Sao Caetano Contagem MG 32677644 Brazil;sem numero de porta
ALTO;2512;Arranha;Rua Rio Comprido 3037 2989 Novo Riacho Contagem MG 32280070 Brazil;sem numero de porta
ALTO;2515;Cine Cardume Rodoviária;Praca Rio Branco 100 Mesanino Centro Belo Horizonte MG 30110002 Brazil;sem numero de porta
ALTO;2518;Cine Ritz Belo Horizonte;Sao Bento Belo Horizonte MG 30350563 Brazil;sem numero de porta
ALTO;2519;Cine Music;Rua Rodrigues Caldas Santo Agostinho Belo Horizonte MG 30190120 Brazil;sem numero de porta
ALTO;2520;O Lado Fora do Mainstream;Rua Dona Cidinha Stussi Santa Amelia Belo Horizonte MG 31550330 Brazil;sem numero de porta
ALTO;2522;Tierra Vermelha Audiovisual;Parque Alvorada Dourados MS 79823290 Brazil;sem numero de porta
ALTO;2525;Cineclube Coxiponés;Avenida Edgar Vieira 513 549 Boa Esperanca Cuiaba MT 78060900 Brazil;sem numero de porta
ALTO;2541;Cine Duque de Caxias;Rua Brasilia Jardim Ima Campo Grande MS 79102050 Brazil;sem numero de porta
ALTO;2562;Chalana Filmes;Rua Joaquim Alves Pereira Pioneiros Campo Grande MS 79070120 Brazil;sem numero de porta
ALTO;2563;Nova SBM;Avenida Joao Batista Fernandes Nucleo Industrial Campo Grande MS 79108630 Brazil;sem numero de porta
ALTO;2564;Ofcine;Avenida 1323 Vila Alba Campo Grande MS 79100430 Brazil;sem numero de porta
ALTO;2573;Cinemais;BR 222 5210 Nova Maraba Maraba PA 68507760 Brazil;sem numero de porta
ALTO;2574;CineCampo;Alemeda Sebastiao Fernandes R Antonia Bezerril dos Santos Saudade I Castanhal PA 68741190 Brazil;sem numero de porta
ALTO;2575;Cinema Aruanda;Rua Das Oiticicas Castelo Branco Joao Pessoa PB 58051900 Brazil;sem numero de porta
ALTO;2581;Teatro ao ar Livre de Caruaru;Cedro Caruaru PE Brazil;"sem numero de porta; logradouro sem nome"
ALTO;2582;Produtora Vertigo;Porto Digital Armazem da Criatividade Mauricio de Nassau 55012 630 Caruaru PE 55002310 Brazil;sem numero de porta
ALTO;2583;mundo dos filmes;Avenida das Garcas Rio Doce Olinda PE 53090490 Brazil;sem numero de porta
ALTO;2585;filmagensDantas;Rua Setenta Rio Doce Olinda PE 53090500 Brazil;sem numero de porta
ALTO;2604;Creative Films;Avenida Dr Alexandre Rasgulaeff Maringa PR 87033080 Brazil;sem numero de porta
ALTO;2605;Origem Produtora Audiovisual;Rua das Acacias Conj Hab Inocente Vila Nova Junior Maringa PR 87060140 Brazil;sem numero de porta
ALTO;2607;SoffCine;Avenida Dr Vitor do Amaral Centro Araucaria PR 83702040 Brazil;sem numero de porta
ALTO;2609;Cineflix Shopping Boulevard;BR 116 16303 Xaxim Curitiba PR 82590100 Brazil;sem numero de porta
ALTO;2611;Jhonny produção;Rua David Tows Xaxim Curitiba PR 81830270 Brazil;sem numero de porta
ALTO;2613;CINÉPOLIS;Avenida Domingos Damasceno Duarte Trindade Sao Goncalo RJ 24456422 Brazil;sem numero de porta
ALTO;2616;MULTICINE CINEMAS 1 ANDAR;Nova Betania Mossoro RN Brazil;sem numero de porta
ALTO;2617;Cidade Cenográfica Nova Canaã de Rondônia;Estrada dos Periquitos 3578 Porto Velho RO 76813828 Brazil;endereco de rodovia (57-67% falharam)
MEDIO;11;CINEMA CINEMARK;Avenida DAS CATARATAS 3570 Foz do Iguacu PR 85853000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;21;PRUDENSHOPPING;Avenida MANOEL GOULART 2400 Presidente Prudente SP 19060000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;24;CINESYSTEM;Avenida COMENDADOR GUSTAVO PAIVA 5945 Maceio AL 57038000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;33;DJOLTROMUNDO;Rua EUCLIDES DA CUNHA 76 Conceicao do Coite BA 48730000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;35;UCI KINOPLEX SHOPPING TACARUNA;Avenida GOV AGAMENON MAGALHAES 153 Recife PE 50110000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;37;KINOPLEX TIJUCA;Avenida MARACANA 987 Rio de Janeiro RJ 20511000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;51;MAG SHOPPING;Avenida GOV FLAVIO RIBEIRO COUTINHO 115 Joao Pessoa PB 58037000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;52;CINÉPOLIS;Alameda RIO NEGRO 111 Barueri SP 06455000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;61;CINEMARK - SHOPPING PÁTIO PAULISTA;RUA TREZE DE MAIO 1947 Sao Paulo SP 17630000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;65;MAGNÓLIA RESTAURANTE BAR E CINEMA;RUA DONA CARLINDA 255 Canela RS 95680000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;70;CINEMA SÃO LUIZ;Rua DA AURORA 175 Recife PE 50050000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;90;CINEMARK;PISO SUPERIOR AV OTTO BAUMGART 500 Sao Paulo SP 02049000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;102;CINÉPOLIS PONTA NEGRA;Avenida CORONEL TEIXEIRA 5705 Manaus AM 69037000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;111;CINEXTREME;Avenida BRASIL 1123 Itamaraju BA 45836000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;123;INSTITUTO ROQUE ARAÚJO DE CINEMA E AUDIOVISUAL/MUSEU DO CINEMA;PTE DOM PEDRO L 115 Cachoeira BA 44300000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;137;SUMAÚMA PARK SHOPPING;Avenida NOEL NUTELS 1762 Manaus AM 69095000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;139;KINOPLEX PARQUE DA CIDADE;Avenida DAS NACOES UNIDAS 14401 Sao Paulo SP 04794000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;145;GNC CINEMAS;Avenida JOAO WALLIG 1800 Porto Alegre RS 91340000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;161;CINEMA PARADISO;PRACA DR ADHEMAR PEREIRA DE BARROS 61 Sao Bento do Sapucai SP 12490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;173;CINEMA CINEMARK;Avenida RAIMUNDO PEREIRA DE MAGALHAES 1465 Sao Paulo SP 05145000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;190;MOVIE ARTE L`AMERICA SHOPPING;SAO BENTO RUA TREZE DE MAIO NO 877 Bento Goncalves RS 95700000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;194;CINE LASER CINEMAS - SHOPPING PALLADIUM UMUARAMA;Avenida PARANA 8455 Umuarama PR 87502000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;196;CINEMARK;Avenida DAS NACOES UNIDAS 22540 Sao Paulo SP 04795000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;203;CINEMARK - SHOPPING METRÔ TUCURUVI;Avenida DR ANTONIO MARIA LAET 566 Sao Paulo SP 02240000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;204;CINÉPOLIS SÃO BERNARDO PLAZA;Avenida ROTARY 624 Sao Bernardo do Campo SP 09721000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;211;BUSTOUR L UNIDADE CINEMA DE GRAMADO;Avenida BORGES DE MEDEIROS 2697 Gramado RS 95670000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;217;CINEMA CINEMARK;Rua CAP PACHECO E CHAVES 313 Sao Paulo SP 03126000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;220;CINEFLIX SHOPPING PELOTAS;Avenida FERREIRA VIANA 1526 Pelotas RS 96085000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;221;UCI - SHOPPING ANÁLIA FRANCO;Avenida REG FEIJO 1739 Sao Paulo SP 03342000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;222;CINE SUPER K;Avenida CAP ENE GARCES 1883 Boa Vista RR 69304000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;223;CENTERPLEX GRANDE CIRCULAR;Avenida AUTAZ MIRIM 6250 Manaus AM 69085000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
